string,string,localized
invalid,UNKNOWN,&PRESENCE/UNKNOWN_MAP
mp_farm_18,GOLD,&PRESENCE/MP_FARM_18
mp_museum,GOLD,&PRESENCE/MP_MUSEUM
mp_swap_meet,GOLD,&PRESENCE/MP_SWAP_MEET
mp_luxury,GOLD,&PRESENCE/MP_LUXURY
mp_grandprix_pm_2,GOLD,&PRESENCE/MP_GRANDPRIX_PM_2
mp_sira_gw,GOLD,&PRESENCE/MP_SIRA_GW
mp_fishtown_gw,GOLD,&PRESENCE/MP_FISHTOWN_GW
mp_nogales_gw2,GOLD,&PRESENCE/MP_NOGALES_GW2
mp_fort,GOLD,&PRESENCE/MP_FORT
mp_embassy,GOLD,&PRESENCE/MP_EMBASSY
mp_hydro,GOLD,&PRESENCE/MP_HYDRO
mp_wartorn,GOLD,&PRESENCE/MP_WARTORN
mp_wartorn_gw,GOLD,&PRESENCE/MP_WARTORN_GW
mp_crossing,GOLD,&PRESENCE/MP_CROSSING
mp_catedral,GOLD,&PRESENCE/MP_CATEDRAL
mp_historic_gw2,GOLD,&PRESENCE/MP_HISTORIC_GW2
cp_hydro,GOLD,&PRESENCE/CP_HYDRO
cp_mission_esc,GOLD,&PRESENCE/CP_MISSION_ESC
cp_observatory,GOLD,&PRESENCE/CP_OBSERVATORY
