string,string,string,string
3999,1 Key,11,100
4002,2 Keys,11,200
3998,3 Keys,11,300
3990,4 Keys,11,400
4001,5 Keys,11,500
4006,10 Keys,11,1000
4008,20 Keys,11,2000
3987,50 Keys,11,5000
4000,100 Salvage,12,100
4004,200 Salvage,12,200
4007,300 Salvage,12,300
3988,400 Salvage,12,400
3995,500 Salvage,12,500
3997,1000 Salvage,12,1000
4003,2000 Salvage,12,2000
4005,5000 Salvage,12,5000
3996,100 CP,20,100
3992,200 CP,20,200
3989,300 CP,20,300
3991,400 CP,20,400
3986,500 CP,20,500
3985,1000 CP,20,1000
3994,2000 CP,20,2000
3993,5000 CP,20,5000
