string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
1,3249,,,0,2832,,,0,1931,,,0,1081,,,0,3535,,,0
2,11544,,,1,,,,,,,,,,,,,,,,
3,11603,,,1,,,,,,,,,,,,,,,,
4,3623,,,1,11549,,,1,,,,,,,,,,,,
5,1932,,,1,1932,,,1,1932,,,1,,,,,,,,
6,11550,,,1,,,,,,,,,,,,,,,,
7,3366,,,2,,,,,,,,,,,,,,,,
8,11546,,,2,,,,,,,,,,,,,,,,
9,3222,,,2,11548,,,2,,,,,,,,,,,,
10,2405,,,2,,,,,,,,,,,,,,,,
12,2950,,,2,,,,,,,,,,,,,,,,
13,1105,,,3,,,,,,,,,,,,,,,,
14,574,,,3,574,,,3,,,,,,,,,,,,
15,2331,,,3,,,,,,,,,,,,,,,,
16,2927,,,3,,,,,,,,,,,,,,,,
17,2635,,,3,,,,,,,,,,,,,,,,
18,3521,,,4,,,,,,,,,,,,,,,,
19,2068,,,4,,,,,,,,,,,,,,,,
20,1583,,,4,,,,,,,,,,,,,,,,
21,1020,,,4,,,,,,,,,,,,,,,,
22,1457,,,4,,,,,,,,,,,,,,,,
23,2995,,,5,,,,,,,,,,,,,,,,
24,11781,,,5,,,,,,,,,,,,,,,,
