string,string,string
9148,killstreak,airdrop
9159,killstreak,airdrop_escort
9154,killstreak,airdrop_multiple
9153,killstreak,assault_drone
9140,killstreak,auto_drone
9177,killstreak,bradley
9158,killstreak,chopper_gunner
9173,killstreak,chopper_support
9152,killstreak,circle_peek
9161,killstreak,cluster_spike
9155,killstreak,counter_uav
9151,killstreak,cruise_predator
9179,killstreak,directional_uav
9147,killstreak,emp
9138,killstreak,emp_drone
9150,killstreak,fuel_airstrike
9146,killstreak,gunship
9178,killstreak,hellstorm_missile
9167,killstreak,hover_jet
9166,killstreak,jackal
9176,killstreak,juggernaut
9144,killstreak,loadout_drop
9142,killstreak,manual_turret
9156,killstreak,missile_turret
9172,killstreak,multi_airstrike
9162,killstreak,napalm_strike
9174,killstreak,nuke_select_location
9168,killstreak,pac_sentry
9171,killstreak,precision_airstrike
9143,killstreak,radar_drone_overwatch
9163,killstreak,radar_drone_recon
9160,killstreak,rcxd
9170,killstreak,scrambler_drone_guard
9175,killstreak,sentry_gun
9169,killstreak,toma_strike
9145,killstreak,uav
9149,killstreak,white_phosphorus
9230,super,super_ammo_drop
9224,super,super_armor_drop
9240,super,super_balloon_extract
9254,super,super_battlerage
9246,super,super_blastshield_drop
9264,super,super_blinding_turret
9223,super,super_br_extract
9262,super,super_bradley
9265,super,super_chopper_gunner
9220,super,super_cruise_predator
9250,super,super_deadsilence
9257,super,super_deployed_decoy
9237,super,super_door_barricade
9221,super,super_emp_drone
9251,super,super_emp_pulse
9227,super,super_fulton
9226,super,super_laststand_heal
9232,super,super_leader_drop
9247,super,super_loadout_drop
9242,super,super_pac_sentry
9260,super,super_precision_airstrike
9249,super,super_recon_dart
9236,super,super_recon_drone
9241,super,super_remote_detonate
9239,super,super_scramble
9255,super,super_select
9266,super,super_smoke_airdrop
9268,super,super_sonar_pulse
9244,super,super_sound_veil
9261,super,super_stimpistol
9231,super,super_supply_drop
9270,super,super_support_box
9243,super,super_suppression_rounds
9225,super,super_tac_camera
9269,super,super_tac_cover
9253,super,super_tac_insert
9263,super,super_test
9222,super,super_toma_strike
9238,super,super_trophy
9248,super,super_uav
9245,super,super_vehicle_drop
9233,super,super_weapon_drop
8177,weapon,iw9_ar_akilo105_variant_0
568,weapon,iw9_ar_akilo47_variant_0
8090,weapon,iw9_ar_akilo74_variant_0
8058,weapon,iw9_ar_akilo_variant_0
8070,weapon,iw9_ar_augolf_variant_0
8117,weapon,iw9_ar_falpha_variant_0
8125,weapon,iw9_ar_fecho_variant_0
8139,weapon,iw9_ar_golf3_variant_0
8104,weapon,iw9_ar_kilo53_variant_0
8118,weapon,iw9_ar_mcbravo_variant_0
8083,weapon,iw9_ar_mcharlie_variant_0
8071,weapon,iw9_ar_mike16_variant_0
8150,weapon,iw9_ar_mike4_variant_0
8136,weapon,iw9_ar_scharlie_variant_0
8161,weapon,iw9_ar_schotel_variant_0
8130,weapon,iw9_ar_scsierra_variant_0
8110,weapon,iw9_br_msecho_variant_0
8156,weapon,iw9_br_soscar14_variant_0
8140,weapon,iw9_dm_crossbow_variant_0
8075,weapon,iw9_dm_la700_variant_0
8069,weapon,iw9_dm_mike14_variant_0
8182,weapon,iw9_dm_mike24_variant_0
8066,weapon,iw9_dm_pgolf1_variant_0
