string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,928,,,0,3405,,,0,3551,,,0,2126,,,0,2957,,,0,11631,,,0,11631,,,0
1,1672,,,1,13285,,,1,,,,,,,,,,,,,,,,,,,,
2,2144,,,1,13266,,,1,,,,,,,,,,,,,,,,,,,,
3,1949,,,1,13253,,,1,,,,,,,,,,,,,,,,,,,,
4,2114,,,1,13293,,,1,,,,,,,,,,,,,,,,,,,,
5,1389,,,1,13234,,,1,,,,,,,,,,,,,,,,,,,,
6,729,,,2,13237,,,2,,,,,,,,,,,,,,,,,,,,
7,1178,,,2,13301,,,2,,,,,,,,,,,,,,,,,,,,
8,1473,,,2,,,,,,,,,,,,,,,,,,,,,,,,
9,3145,,,2,,,,,,,,,,,,,,,,,,,,,,,,
10,3475,,,2,,,,,,,,,,,,,,,,,,,,,,,,
11,1821,,,3,,,,,,,,,,,,,,,,,,,,,,,,
12,2738,,,3,,,,,,,,,,,,,,,,,,,,,,,,
13,1904,,,3,,,,,,,,,,,,,,,,,,,,,,,,
14,2261,,,3,,,,,,,,,,,,,,,,,,,,,,,,
15,1854,,,3,,,,,,,,,,,,,,,,,,,,,,,,
16,2090,,,4,,,,,,,,,,,,,,,,,,,,,,,,
17,3812,,,4,,,,,,,,,,,,,,,,,,,,,,,,
18,2370,,,4,13289,,,4,,,,,,,,,,,,,,,,,,,,
19,2111,,,4,13249,,,4,,,,,,,,,,,,,,,,,,,,
20,1616,,,4,,,,,,,,,,,,,,,,,,,,,,,,
21,1807,,,5,,,,,,,,,,,,,,,,,,,,,,,,
22,3410,,,5,,,,,,,,,,,,,,,,,,,,,,,,
23,2048,,,5,,,,,,,,,,,,,,,,,,,,,,,,
24,3813,,,5,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,11790,,,6,,,,,,,,,,,,,,,,,,,,,,,,
