string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,3652,,,0,2265,,,0,,,,,,,,,,,,
1,10991,,,1,,,,,,,,,,,,,,,,
2,1046,,,1,2861,,,1,11094,,,1,,,,,,,,
3,10829,,,1,,,,,,,,,,,,,,,,
4,973,,,1,973,,,1,973,,,1,,,,,,,,
5,10743,,,1,,,,,,,,,,,,,,,,
6,11132,,,2,,,,,,,,,,,,,,,,
7,10817,,,2,,,,,,,,,,,,,,,,
8,3228,,,2,,,,,,,,,,,,,,,,
9,10827,,,2,,,,,,,,,,,,,,,,
10,10588,,,2,,,,,,,,,,,,,,,,
11,2755,,,3,2755,,,3,2755,,,3,2755,,,3,11093,,,3
12,11786,,,3,,,,,,,,,,,,,,,,
