string,string,string,xhash32,xhash32,xhash32,int,bool,bool
broadcast_received,localstore_alert_frontend_stack,friends,x32#hash_14c,x32#hash_c81a351a,x32#hash_c7bbcaa8,3,FALSE,FALSE
chat_message_received,localstore_alert_all_stack,chat,x32#hash_14c,x32#hash_c81a3578,x32#hash_c7bbcaa8,4,FALSE,FALSE
korea_overindulgence,nostore_alert_all,,x32#hash_c81a2df5,x32#hash_c81a35d3,x32#hash_c7bbcaa8,10,FALSE,FALSE
friend_request_sent,localstore_alert_all_stack,friends,x32#hash_14c,x32#hash_c81a35ff,x32#hash_c7bbcaa8,0,FALSE,FALSE
friend_request_received,dwstore_alert_all,friends,x32#hash_14c,x32#hash_14c,x32#hash_c81a3ab0,0,TRUE,TRUE
bnet_friend_request,localstore_alert_all,friends,x32#hash_c7bbcaa8,x32#hash_c7bbcaa8,x32#hash_c7bbcaa8,0,FALSE,FALSE
friend_request_accepted,nostore_alert_all,friends,x32#hash_c81a2f46,x32#hash_c7bbcaa8,x32#hash_c7bbcaa8,0,FALSE,FALSE
party_invite_received,localstore_alert_all,invitations,x32#hash_14c,x32#hash_14c,x32#hash_14c,2,TRUE,TRUE
channel_invite_received,dwstore_alert_frontend,invitations,x32#hash_14c,x32#hash_c81a362d,x32#hash_14c,2,TRUE,TRUE
join_party_attempt,nostore_alert_all,party,x32#hash_c81a2e9d,x32#hash_c81a365b,x32#hash_c7bbcaa8,2,FALSE,FALSE
party_invite_sent,nostore_alert_all,party,x32#hash_c81a2ef1,x32#hash_14c,x32#hash_c7bbcaa8,2,FALSE,FALSE
player_joined_party,nostore_alert_frontend,party,x32#hash_c81a2d55,x32#hash_c81a33d8,x32#hash_c7bbcaa8,2,FALSE,FALSE
player_left_party,nostore_alert_frontend,party,x32#hash_14c,x32#hash_c81a3431,x32#hash_c7bbcaa8,2,FALSE,FALSE
player_joined_channel,nostore_alert_frontend,party,x32#hash_c81a2f1b,x32#hash_14c,x32#hash_c7bbcaa8,2,FALSE,FALSE
player_left_channel,nostore_alert_frontend,party,x32#hash_c81a2d2d,x32#hash_14c,x32#hash_c7bbcaa8,2,FALSE,FALSE
loot_item_gained,localstore_alert_all,unlocks,x32#hash_14c,x32#hash_c81a348a,x32#hash_c81a3b0c,6,FALSE,FALSE
achievement_unlocked,localstore_alert_all,unlocks,x32#hash_14c,x32#hash_c81a3403,x32#hash_14c,7,FALSE,FALSE
report_warning,localstore_alert_all,report,x32#hash_c7bbcaa8,x32#hash_c7bbcaa8,x32#hash_c7bbcaa8,0,FALSE,FALSE
report_penalty,localstore_alert_all,report,x32#hash_c7bbcaa8,x32#hash_c7bbcaa8,x32#hash_c7bbcaa8,0,FALSE,FALSE
report_thank_you,localstore_alert_all,report,x32#hash_c7bbcaa8,x32#hash_c7bbcaa8,x32#hash_c7bbcaa8,0,FALSE,FALSE
challenge_progress,localstore_alert_all,challenges,x32#hash_14c,x32#hash_14c,x32#hash_c7bbcaa8,7,FALSE,FALSE
challenge_completed,localstore_alert_all,challenges,x32#hash_14c,x32#hash_14c,x32#hash_c7bbcaa8,7,FALSE,FALSE
player_blocked,nostore_alert_all,misc,x32#hash_14c,x32#hash_14c,x32#hash_c7bbcaa8,0,FALSE,FALSE
player_unblocked,nostore_alert_all,misc,x32#hash_c81a2ce0,x32#hash_14c,x32#hash_c7bbcaa8,0,FALSE,FALSE
tournament_reminder,nostore_alert_all,tournament,x32#hash_14c,x32#hash_c81a34e8,x32#hash_c7bbcaa8,0,FALSE,FALSE
joined_tournament,nostore_alert_all,tournament,x32#hash_c81a2d08,x32#hash_14c,x32#hash_c7bbcaa8,0,FALSE,FALSE
rejoined_tournament,nostore_alert_all,tournament,x32#hash_14c,x32#hash_c81a35a3,x32#hash_c7bbcaa8,0,FALSE,FALSE
crossplay_settings_changed,nostore_alert_all,settings,x32#hash_c81a2e1d,x32#hash_14c,x32#hash_c7bbcaa8,0,FALSE,FALSE
crossplay_setting_disabled_other_platform_user_in_party_warning,nostore_alert_all,settings,x32#hash_c81a2da5,x32#hash_14c,x32#hash_c7bbcaa8,0,FALSE,FALSE
clans_invite_received,nostore_alert_all,clans,x32#hash_14c,x32#hash_14c,x32#hash_c7bbcaa8,0,FALSE,FALSE
clans_invite_send,nostore_alert_all,clans,x32#hash_c81a2e71,x32#hash_c81a34bc,x32#hash_c7bbcaa8,0,FALSE,FALSE
clans_invite_accepted,nostore_alert_all,clans,x32#hash_c81a2f6b,x32#hash_14c,x32#hash_c7bbcaa8,0,FALSE,FALSE
crosslaunch_attempt,nostore_alert_all,clans,x32#hash_c81a2d7b,x32#hash_c81a3461,x32#hash_c7bbcaa8,0,FALSE,FALSE
rejoined_previous_lobby,nostore_alert_all,misc,x32#hash_c81a2e49,x32#hash_14c,x32#hash_c7bbcaa8,0,FALSE,FALSE
group_invite_received,localstore_alert_frontend,groupinvites,x32#hash_14c,x32#hash_14c,x32#hash_c81a3adf,1,TRUE,TRUE
group_request_received,localstore_alert_frontend,grouprequests,x32#hash_c81a2dcd,x32#hash_c81a3548,x32#hash_14c,1,TRUE,TRUE
