string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,3058,,,0,1453,,,0,3574,,,0,1923,,,0,2364,,,0
1,3488,,,1,11587,,,1,,,,,,,,,,,,
2,2250,,,1,2250,,,1,11577,,,1,,,,,,,,
3,1662,,,1,11601,,,1,,,,,,,,,,,,
4,1158,,,1,11571,,,1,,,,,,,,,,,,
5,2238,,,1,11600,,,1,,,,,,,,,,,,
6,2715,,,2,11603,,,2,,,,,,,,,,,,
7,3126,,,2,3126,,,2,,,,,,,,,,,,
8,2227,,,2,2554,,,2,,,,,,,,,,,,
9,1266,,,2,11592,,,2,,,,,,,,,,,,
10,1369,,,2,,,,,,,,,,,,,,,,
11,2554,,,3,,,,,,,,,,,,,,,,
12,978,,,3,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,
14,751,,,3,,,,,,,,,,,,,,,,
15,2765,,,3,11328,,,3,,,,,,,,,,,,
16,1817,,,4,,,,,,,,,,,,,,,,
17,1106,,,4,,,,,,,,,,,,,,,,
18,1409,,,4,,,,,,,,,,,,,,,,
19,3393,,,4,,,,,,,,,,,,,,,,
20,11796,,,4,,,,,,,,,,,,,,,,
