string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,3060,,,0,719,,,0,,,,,,,,,,,,,,,,
1,11452,,,1,,,,,,,,,,,,,,,,,,,,
2,11467,,,1,,,,,,,,,,,,,,,,,,,,
3,3784,,,1,11446,,,1,,,,,,,,,,,,,,,,
4,2485,,,1,2485,,,1,11457,,,1,,,,,,,,,,,,
5,11459,,,1,,,,,,,,,,,,,,,,,,,,
6,3596,,,2,11452,,,2,,,,,,,,,,,,,,,,
7,1938,,,2,11434,,,2,,,,,,,,,,,,,,,,
8,11464,,,2,,,,,,,,,,,,,,,,,,,,
9,3189,,,2,3189,,,2,3189,,,2,3189,,,2,3189,,,2,11476,,,2
10,2216,,,2,,,,,,,,,,,,,,,,,,,,
11,1480,,,3,11481,,,3,,,,,,,,,,,,,,,,
12,1522,,,3,11327,,,3,,,,,,,,,,,,,,,,
13,3007,,,3,,,,,,,,,,,,,,,,,,,,
14,710,,,3,,,,,,,,,,,,,,,,,,,,
15,1309,,,3,,,,,,,,,,,,,,,,,,,,
16,2301,,,4,2301,,,4,2301,,,4,2301,,,4,2301,,,4,,,,
17,1108,,,4,,,,,,,,,,,,,,,,,,,,
18,11778,,,4,,,,,,,,,,,,,,,,,,,,
