string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,2810,,,0,1820,,,0,1115,,,0,2936,,,0,3136,,,0
1,972,,,1,11596,,,1,,,,,,,,,,,,
2,11573,,,1,,,,,,,,,,,,,,,,
3,1044,,,1,11602,,,1,,,,,,,,,,,,
4,2086,,,1,11574,,,1,,,,,,,,,,,,
5,2083,,,1,11586,,,1,,,,,,,,,,,,
6,2897,,,2,11609,,,2,,,,,,,,,,,,
7,2698,,,2,11612,,,2,,,,,,,,,,,,
8,1115,,,2,,,,,,,,,,,,,,,,
9,2085,,,2,,,,,,,,,,,,,,,,
10,1609,,,2,11588,,,2,,,,,,,,,,,,
11,1883,,,3,,,,,,,,,,,,,,,,
12,3796,,,3,,,,,,,,,,,,,,,,
13,3630,,,3,,,,,,,,,,,,,,,,
14,3299,,,3,11569,,,3,,,,,,,,,,,,
15,2967,,,3,,,,,,,,,,,,,,,,
16,1693,,,4,,,,,,,,,,,,,,,,
17,1886,,,4,,,,,,,,,,,,,,,,
18,2085,,,4,,,,,,,,,,,,,,,,
19,911,,,4,,,,,,,,,,,,,,,,
20,3864,,,4,,,,,,,,,,,,,,,,
21,2820,,,5,,,,,,,,,,,,,,,,
22,2929,,,5,,,,,,,,,,,,,,,,
23,3041,,,5,,,,,,,,,,,,,,,,
24,3795,,,5,,,,,,,,,,,,,,,,
25,3550,,,5,,,,,,,,,,,,,,,,
26,11750,,,6,,,,,,,,,,,,,,,,
