int,string,int,int,int,int
296,basegame_ps4,0,0,0,0
415,gamemode_1_ps4,0,0,0,0
316,gamemode_2_ps4,0,0,0,0
328,gamemode_3_ps4,0,0,0,0
396,gamemode_4_ps4,0,0,0,0
379,gamemode_5_ps4,0,0,0,0
324,beta_access_ps4,0,0,0,0
375,preorder_items_ps4,0,0,0,0
383,standard_edition_items_ps4,0,0,0,0
291,operator_edition_items_ps4,0,0,0,0
310,op_enhanced_edition_items_ps4,0,0,0,0
376,basegame_xb3,0,0,0,0
353,gamemode_1_xb3,0,0,0,0
337,gamemode_2_xb3,0,0,0,0
417,gamemode_3_xb3,0,0,0,0
397,gamemode_4_xb3,0,0,0,0
285,gamemode_5_xb3,0,0,0,0
431,beta_access_xb3,0,0,0,0
303,preorder_items_xb3,0,0,0,0
409,standard_edition_items_xb3,0,0,0,0
333,operator_edition_items_xb3,0,0,0,0
406,op_enhanced_edition_items_xb3,0,0,0,0
343,basegame_bnet,0,0,0,0
411,gamemode_1_bnet,0,0,0,0
346,gamemode_2_bnet,0,0,0,0
308,gamemode_3_bnet,0,0,0,0
345,gamemode_4_bnet,0,0,0,0
344,gamemode_5_bnet,0,0,0,0
289,beta_access_bnet,0,0,0,0
405,preorder_items_bnet,0,0,0,0
351,standard_edition_items_bnet,0,0,0,0
330,operator_edition_items_bnet,0,0,0,0
407,op_enhanced_edition_items_bnet,0,0,0,0
299,retail_ce_items1_ps4,0,0,0,0
290,retail_ce_items2_ps4,0,0,0,0
322,retail_ce_items1_xb3,0,0,0,0
366,retail_ce_items2_xb3,0,0,0,0
365,retail_ce_items1_bnet,0,0,0,0
358,retail_ce_items2_bnet,0,0,0,0
300,code_pack_1_ps4,0,0,0,0
321,code_pack_1_xb3,0,0,0,0
399,code_pack_1_bnet,0,0,0,0
298,cdl_atlanta_ps4,0,0,0,0
286,cdl_chicago_ps4,0,0,0,0
416,cdl_dallas_ps4,0,0,0,0
354,cdl_florida_ps4,0,0,0,0
280,cdl_london_ps4,0,0,0,0
421,cdl_la_guerrillas_ps4,0,0,0,0
418,cdl_minnesota_ps4,0,0,0,0
428,cdl_new_york_ps4,0,0,0,0
378,cdl_la_optic_ps4,0,0,0,0
323,cdl_paris_ps4,0,0,0,0
367,cdl_seattle_ps4,0,0,0,0
297,cdl_toronto_ps4,0,0,0,0
359,cdl_atlanta_xb3,0,0,0,0
306,cdl_chicago_xb3,0,0,0,0
327,cdl_dallas_xb3,0,0,0,0
355,cdl_florida_xb3,0,0,0,0
381,cdl_london_xb3,0,0,0,0
386,cdl_la_guerrillas_xb3,0,0,0,0
427,cdl_minnesota_xb3,0,0,0,0
372,cdl_new_york_xb3,0,0,0,0
356,cdl_la_optic_xb3,0,0,0,0
425,cdl_paris_xb3,0,0,0,0
348,cdl_seattle_xb3,0,0,0,0
360,cdl_toronto_xb3,0,0,0,0
325,cdl_atlanta_bnet,0,0,0,0
313,cdl_chicago_bnet,0,0,0,0
369,cdl_dallas_bnet,0,0,0,0
350,cdl_florida_bnet,0,0,0,0
402,cdl_london_bnet,0,0,0,0
352,cdl_la_guerrillas_bnet,0,0,0,0
387,cdl_minnesota_bnet,0,0,0,0
361,cdl_new_york_bnet,0,0,0,0
412,cdl_la_optic_bnet,0,0,0,0
334,cdl_paris_bnet,0,0,0,0
342,cdl_seattle_bnet,0,0,0,0
318,cdl_toronto_bnet,0,0,0,0
295,basegame_wecn,0,0,0,0
329,gamemode_1_wecn,0,0,0,0
281,gamemode_2_wecn,0,0,0,0
362,gamemode_3_wecn,0,0,0,0
301,gamemode_4_wecn,0,0,0,0
422,gamemode_5_wecn,0,0,0,0
357,beta_access_wecn,0,0,0,0
368,preorder_items_wecn,0,0,0,0
347,standard_edition_items_wecn,0,0,0,0
293,operator_edition_items_wecn,0,0,0,0
374,op_enhanced_edition_items_wecn,0,0,0,0
311,retail_ce_items1_wecn,0,0,0,0
384,retail_ce_items2_wecn,0,0,0,0
292,code_pack_1_wecn,0,0,0,0
424,cdl_atlanta_wecn,0,0,0,0
363,cdl_chicago_wecn,0,0,0,0
349,cdl_dallas_wecn,0,0,0,0
410,cdl_florida_wecn,0,0,0,0
419,cdl_london_wecn,0,0,0,0
326,cdl_la_guerrillas_wecn,0,0,0,0
282,cdl_minnesota_wecn,0,0,0,0
287,cdl_new_york_wecn,0,0,0,0
414,cdl_la_optic_wecn,0,0,0,0
370,cdl_paris_wecn,0,0,0,0
380,cdl_seattle_wecn,0,0,0,0
305,cdl_toronto_wecn,0,0,0,0
398,mw2r_franchise_ps4,0,0,0,0
373,mw2r_franchise_xb3,0,0,0,0
283,mw2r_franchise_bnet,0,0,0,0
320,mw2r_franchise_wecn,0,0,0,0
312,head_start_1_ps4,0,0,0,0
394,head_start_2_ps4,0,0,0,0
403,code_defender_2_ps4,0,0,0,0
393,head_start_1_xb3,0,0,0,0
413,head_start_2_xb3,0,0,0,0
336,code_defender_2_xb3,0,0,0,0
377,head_start_1_bnet,0,0,0,0
390,head_start_2_bnet,0,0,0,0
332,code_defender_2_bnet,0,0,0,0
371,head_start_1_wecn,0,0,0,0
338,head_start_2_wecn,0,0,0,0
395,code_defender_2_wecn,0,0,0,0
284,starter_pack_ps4,0,0,0,0
288,starter_pack_xb3,0,0,0,0
388,starter_pack_bnet,0,0,0,0
420,starter_pack_wecn,0,0,0,0
331,cdl_champ_ps4,0,0,0,0
341,cdl_collab_ps4,0,0,0,0
319,cdl_champ_xb3,0,0,0,0
335,cdl_collab_xb3,0,0,0,0
401,cdl_champ_bnet,0,0,0,0
429,cdl_collab_bnet,0,0,0,0
304,cdl_champ_wecn,0,0,0,0
426,cdl_collab_wecn,0,0,0,0
314,zeus_standard_edition_tracking_ps4,0,0,0,0
340,zeus_ultimate_edition_tracking_ps4,0,0,0,0
392,zeus_standard_edition_tracking_xb3,0,0,0,0
339,zeus_ultimate_edition_tracking_xb3,0,0,0,0
400,zeus_standard_edition_tracking_bnet,0,0,0,0
423,zeus_ultimate_edition_tracking_bnet,0,0,0,0
315,zeus_standard_edition_tracking_wecn,0,0,0,0
389,zeus_ultimate_edition_tracking_wecn,0,0,0,0
404,cortez_standard_edition_tracking_bnet,0,0,0,0
430,cortez_ultimate_edition_tracking_bnet,0,0,0,0
385,cortez_standard_edition_tracking_ps4,0,0,0,0
294,cortez_ultimate_edition_tracking_ps4,0,0,0,0
317,cortez_standard_edition_tracking_xb3,0,0,0,0
364,cortez_ultimate_edition_tracking_xb3,0,0,0,0
382,cortez_standard_edition_tracking_wecn,0,0,0,0
307,cortez_ultimate_edition_tracking_wecn,0,0,0,0
9069,cortez_standard_edition_tracking_steam,0,0,0,0
10572,cortez_ultimate_edition_tracking_steam,0,0,0,0
302,cortez_standard_consumables_bnet,0,0,0,0
408,cortez_standard_consumables_ps4,0,0,0,0
309,cortez_standard_consumables_xb3,0,0,0,0
391,cortez_standard_consumables_wecn,0,0,0,0
10571,cortez_upgrade_to_ultimate_tracking_steam,0,0,0,0
