string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,1910,,,0,2618,,,0,1992,,,0,1009,,,0,2303,,,0
1,3745,,,1,11538,,,1,,,,,,,,,,,,
2,2103,,,1,11533,,,1,,,,,,,,,,,,
3,3346,,,1,11531,,,1,,,,,,,,,,,,
4,2617,,,1,11530,,,1,,,,,,,,,,,,
5,841,,,1,11536,,,1,,,,,,,,,,,,
6,1485,,,2,11537,,,2,,,,,,,,,,,,
7,773,,,2,11532,,,2,,,,,,,,,,,,
8,2612,,,2,11534,,,2,,,,,,,,,,,,
9,3317,,,2,,,,,,,,,,,,,,,,
10,1896,,,2,11535,,,2,,,,,,,,,,,,
11,3249,,,3,11345,,,3,,,,,,,,,,,,
12,1914,,,3,,,,,,,,,,,,,,,,
13,2277,,,3,,,,,,,,,,,,,,,,
14,2555,,,3,,,,,,,,,,,,,,,,
15,1633,,,3,,,,,,,,,,,,,,,,
16,11757,,,4,,,,,,,,,,,,,,,,
