string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,1522,,,0,2691,,,0,,,,,,,,
1,11443,,,1,,,,,,,,,,,,
2,11456,,,1,,,,,,,,,,,,
3,3561,,,1,11436,,,1,,,,,,,,
4,11471,,,1,,,,,,,,,,,,
5,11437,,,1,,,,,,,,,,,,
6,1054,,,2,794,,,2,11468,,,2,,,,
7,11451,,,2,,,,,,,,,,,,
8,3575,,,2,,,,,,,,,,,,
9,2208,,,2,2208,,,2,,,,,,,,
10,3245,,,2,,,,,,,,,,,,
11,11475,,,3,,,,,,,,,,,,
12,11364,,,3,,,,,,,,,,,,
13,1316,,,3,,,,,,,,,,,,
14,2925,,,3,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,
16,2063,,,4,,,,,,,,,,,,
17,2060,,,4,11341,,,4,,,,,,,,
18,3862,,,4,3862,,,4,3862,,,4,11472,,,4
19,1617,,,4,,,,,,,,,,,,
20,11746,,,4,,,,,,,,,,,,
