string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
1,2115,,,0,771,,,0,3675,,,0,1525,,,0,1703,,,0,,,,
2,1203,,,1,11081,,,1,1044,,,1,1044,,,1,,,,,,,,
3,1418,,,1,11084,,,1,1418,,,1,,,,,,,,,,,,
4,1872,,,1,1872,,,1,1872,,,1,11090,,,1,,,,,,,,
5,766,,,1,11087,,,1,,,,,,,,,,,,,,,,
6,972,,,1,11082,,,1,972,,,1,,,,,,,,,,,,
7,775,,,2,775,,,2,775,,,2,775,,,2,11119,,,2,775,,,2
8,3754,,,2,11107,,,2,,,,,,,,,,,,,,,,
9,1702,,,2,11112,,,2,,,,,,,,,,,,,,,,
10,3840,,,2,3840,,,2,3840,,,2,,,,,,,,,,,,
11,873,,,2,873,,,2,873,,,2,,,,,,,,,,,,
12,1671,,,3,11099,,,3,1671,,,3,,,,,,,,,,,,
13,2902,,,3,11357,,,3,,,,,,,,,,,,,,,,
14,2452,,,3,,,,,,,,,,,,,,,,,,,,
15,2534,,,3,2534,,,3,,,,,,,,,,,,,,,,
16,1623,,,3,,,,,,,,,,,,,,,,,,,,
17,3568,,,4,,,,,,,,,,,,,,,,,,,,
18,1718,,,4,11331,,,4,,,,,,,,,,,,,,,,
19,2887,,,4,2887,,,4,2887,,,4,2887,,,4,2887,,,4,,,,
20,11765,,,4,,,,,,,,,,,,,,,,,,,,
