string,localized
dm,&PRESENCE/DM
war,&PRESENCE/WAR
sd,&PRESENCE/SD
dom,&PRESENCE/DOM
koth,&PRESENCE/KOTH
ctf,&PRESENCE/CTF
dd,&PRESENCE/DD
conf,&PRESENCE/CONF
tdef,&PRESENCE/TDEF
siege,&PRESENCE/SIEGE
grnd,&PRESENCE/GRND
gun,&PRESENCE/GUN
infect,&PRESENCE/INFECT
sr,&PRESENCE/SR
grind,&PRESENCE/GRIND
front,&PRESENCE/BALL
ball,&PRESENCE/FRONT
mp_zomb,&PRESENCE/MP_ZOMBIES
zombie,&PRESENCE/CP_ZOMBIES
arena,&PRESENCE/ARENA
hq,&PRESENCE/HEADQUARTERS
cyber,&PRESENCE/CYBERATTACK
arm,&PRESENCE/GROUNDWAR
trial,&PRESENCE/TRIAL
cp_survival,&PRESENCE/TAC_OPS
cp_specops,&PRESENCE/SPEC_OPS
cp_wave_sv,&PRESENCE/SURVIVAL
rugby,&PRESENCE/RUGBY
cranked,&PRESENCE/CRANKED
br,&PRESENCE/BR
raid,&
war_mgl,&PRESENCE/WAR_MGL
dom_mgl,&PRESENCE/DOM_MGL
gwtdm,&PRESENCE/GWTDM
ko,&PRESENCE/KO
rescue,&PRESENCE/RESCUE
