string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,878,,,0,2668,,,0,1903,,,0,2495,,,0,1926,,,0
1,3038,,,1,11572,,,1,,,,,,,,,,,,
2,2046,,,1,11594,,,1,,,,,,,,,,,,
3,3139,,,1,11597,,,1,,,,,,,,,,,,
4,2215,,,1,11593,,,1,,,,,,,,,,,,
5,3247,,,1,11579,,,1,,,,,,,,,,,,
6,3104,,,2,,,,,,,,,,,,,,,,
7,3072,,,2,11583,,,2,,,,,,,,,,,,
8,2062,,,2,,,,,,,,,,,,,,,,
9,3434,,,2,,,,,,,,,,,,,,,,
10,1734,,,2,,,,,,,,,,,,,,,,
11,1756,,,3,11578,,,3,,,,,,,,,,,,
12,2396,,,3,11595,,,3,,,,,,,,,,,,
13,3157,,,3,,,,,,,,,,,,,,,,
14,2267,,,3,,,,,,,,,,,,,,,,
15,2348,,,3,,,,,,,,,,,,,,,,
16,601,,,4,,,,,,,,,,,,,,,,
17,3364,,,4,,,,,,,,,,,,,,,,
18,3865,,,4,,,,,,,,,,,,,,,,
19,3119,,,4,,,,,,,,,,,,,,,,
20,3297,,,4,,,,,,,,,,,,,,,,
21,1542,,,5,,,,,,,,,,,,,,,,
22,832,,,5,,,,,,,,,,,,,,,,
23,2133,,,5,,,,,,,,,,,,,,,,
24,2310,,,5,,,,,,,,,,,,,,,,
25,1725,,,5,,,,,,,,,,,,,,,,
26,2284,,,6,,,,,,,,,,,,,,,,
27,2907,,,6,,,,,,,,,,,,,,,,
28,11776,,,6,,,,,,,,,,,,,,,,
