string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,863,,,0,2028,,,0,3787,,,0,799,,,0,3851,,,0
1,1001,,,1,11413,,,1,,,,,,,,,,,,
2,11406,,,1,,,,,,,,,,,,,,,,
3,11424,,,1,,,,,,,,,,,,,,,,
4,1838,,,1,,,,,,,,,,,,,,,,
5,11430,,,1,,,,,,,,,,,,,,,,
6,2120,,,2,2120,,,2,11416,,,2,,,,,,,,
7,2432,,,2,,,,,,,,,,,,,,,,
8,11432,,,2,,,,,,,,,,,,,,,,
9,11433,,,2,,,,,,,,,,,,,,,,
10,11431,,,2,,,,,,,,,,,,,,,,
11,1428,,,3,,,,,,,,,,,,,,,,
12,1541,,,3,,,,,,,,,,,,,,,,
13,11415,,,3,,,,,,,,,,,,,,,,
14,2463,,,3,,,,,,,,,,,,,,,,
15,1846,,,3,,,,,,,,,,,,,,,,
16,11787,,,4,,,,,,,,,,,,,,,,
