string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,2870,,,0,1647,,,0,3554,,,0,3144,,,0,2182,,,0
1,2368,,,1,12819,,,1,,,,,,,,,,,,
2,2516,,,1,12824,,,1,,,,,,,,,,,,
3,2980,,,1,12816,,,1,,,,,,,,,,,,
4,1348,,,1,12823,,,1,,,,,,,,,,,,
5,737,,,1,12820,,,1,,,,,,,,,,,,
6,1021,,,2,12814,,,2,,,,,,,,,,,,
7,1635,,,2,12817,,,2,,,,,,,,,,,,
8,2884,,,2,,,,,,,,,,,,,,,,
9,1796,,,2,,,,,,,,,,,,,,,,
10,3341,,,2,,,,,,,,,,,,,,,,
11,1268,,,3,,,,,,,,,,,,,,,,
12,1004,,,3,12843,,,3,,,,,,,,,,,,
13,3820,,,3,,,,,,,,,,,,,,,,
14,2945,,,3,,,,,,,,,,,,,,,,
15,1802,,,3,,,,,,,,,,,,,,,,
16,2598,,,4,,,,,,,,,,,,,,,,
17,1723,,,4,,,,,,,,,,,,,,,,
18,1136,,,4,,,,,,,,,,,,,,,,
19,11744,,,4,,,,,,,,,,,,,,,,
