string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,3384,,,0,946,,,0,2509,,,0,1411,,,0
1,13284,,,1,,,,,,,,,,,,
2,13248,,,1,,,,,,,,,,,,
3,13251,,,1,,,,,,,,,,,,
4,1724,,,1,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
6,2559,,,2,1627,,,2,13276,,,2,,,,
7,1362,,,2,,,,,,,,,,,,
8,13286,,,2,,,,,,,,,,,,
9,3123,,,2,,,,,,,,,,,,
10,13282,,,2,,,,,,,,,,,,
11,1519,,,3,,,,,,,,,,,,
12,3052,,,3,,,,,,,,,,,,
13,2064,,,3,,,,,,,,,,,,
14,13257,,,3,,,,,,,,,,,,
15,1071,,,3,13246,,,3,,,,,,,,
16,2857,,,4,,,,,,,,,,,,
17,2834,,,4,,,,,,,,,,,,
18,3436,,,4,,,,,,,,,,,,
18,2819,,,4,,,,,,,,,,,,
19,3888,,,4,,,,,,,,,,,,
20,2819,,,5,,,,,,,,,,,,
21,2834,,,5,,,,,,,,,,,,
22,3888,,,5,,,,,,,,,,,,
23,11749,,,5,,,,,,,,,,,,
