string,localized,string
0,&,
1,&SCRIPT/GRENADE_DEATH,icon_death_hint_grenade
2,&SCRIPT/GRENADE_SUICIDE,
3,&SCRIPT/EXPLODING_VEHICLE_DEATH,icon_death_hint_vehicle
4,&SCRIPT/EXPLODING_DESTRUCTIBLE_DEATH,hud_icon_destructable_death_sp
5,&SCRIPT/EXPLODING_BARREL_DEATH,hud_icon_exploding_barrel
6,&SCRIPT/STEALTH_SPRINT_HINT,
7,&SCRIPT/MISSIONFAIL_KILLED_CHILD,
8,&SCRIPT/STEALTH_GUNSHOT_SUPPRESSED_HINT,
9,&SCRIPT/MISSIONFAIL_CIVILIAN_KILLED,
10,&SCRIPT/MISSIONFAIL_KILLTEAM_BRITISH,
11,&SCRIPT_MISSIONFAIL_KILLTEAM_RUSSIAN,
12,&SCRIPT/MISSIONFAIL_KILLTEAM_AMERICAN,
13,&SCRIPT/WEAP_DISCHARGE_FAIL,
14,&HOMETOWN/ADS,
15,&SHIPAF/HINT_CONTAINERS_KILL,
16,&SCRIPT/STEALTH_PROXIMITY_SPEED_HINT,
17,&SCRIPT/MISSIONFAIL_KILLEDHOSTAGE,
18,&SCRIPT/MISSIONFAIL_HOSTAGEEXECUTED,
19,&SCRIPT/STEALTH_CROUCH_HINT,icon_death_hint_crouch
20,&TOWNHOUSED/ENDING_HINT_HEADSHOT,
21,&TOWNHOUSED/FAIL_BABY3,
22,&SCRIPT/ROE1,
23,&SCRIPT/ROE2,
24,&SCRIPT/ROE3,
25,&SCRIPT/ROE4,
26,&SCRIPT/ROE5,
27,&SCRIPT/ROE6,
28,&PICCADILLY/BOMBFAIL,
29,&SCRIPT/LEAVE_MISSION_AREA,
30,&SCRIPT/MISSIONFAIL_CIVILIAN_KILLED_2,
31,&ESTATE/FLOODLIGHTS_HINT,
32,&ZD30/MINEFIELDS_MINEDIED,
33,&ESTATE/STEALTH_HINT_1,
34,&ESTATE/STEALTH_HINT_2,
35,&ESTATE/STEALTH_HINT_3,
36,&ESTATE/STEALTH_HINT_4,
37,&ESTATE/STEALTH_HINT_5,
38,&ESTATE/STEALTH_HINT_6,
39,&ESTATE/STEALTH_HINT_7,
40,&ESTATE/STEALTH_HINT_8,
41,&ESTATE/STEALTH_HINT_9,
42,&ESTATE/STEALTH_HINT_10,
43,&ESTATE/NVG_ADS_HINT,
44,&ESTATE/LIGHT_METER,
45,&CAPTIVE/TRAPPED,
46,&CAPTIVE/PRISONERS_DIED,
47,&ESTATE/TUNNEL_FAIL,
48,&SCRIPT/MISSIONFAIL_CIVILIAN_FADE_1,
49,&SCRIPT/MISSIONFAIL_CIVILIAN_FADE_2,
50,&SCRIPT/MISSIONFAIL_UNARMED_KILLED,
51,&SAFEHOUSE_FINALE_LOC/MISSIONFAIL_DRONE,
52,&SCRIPT/TRACKING_GRENADE_DEATH,hud_icon_equipment_frag
53,&EMBASSY/CCTV_CAUGHT,
54,&ESTATE/HVT_KILLED_1,
55,&ESTATE/HVT_KILLED_2,
56,&ESTATE/HELI_PLR_DEATH,
57,&SCRIPT/SUICIDE_BOMBER_PLR_OBIT,icon_death_hint_bomber
58,&HOMETOWN/BOSS_HIDE_HINT,
59,&ESTATE/TECHNICAL_DEATH_HINT,
60,&ZD30/BOOBYTRAP_DEATH,icon_death_hint_tripwire
61,&HOMETOWN/FIND_WEAPON_HINT,
62,&ZD30/SHAFT_SUICIDE,
63,&ZD30/OILFIRE_PUZZLE_HINT,
64,&ZD30/SHAFT_CHOKE,
65,&HOMETOWN/SAVE_HADIR_HINT,
66,&ZD30/OILFIRE_HINT,
67,&ZD30/OILFIRE_PUZZLE_HINT2,
68,&HOMETOWN/SPRINT_HINT,
69,&ZD30/MG_NEST_HINT,
70,&LAB/TANK_COVER_HINT,
71,&ZD30/MG_NEST_HINT2,
72,&SCRIPT/MISSIONFAIL_HELICRAWL,
73,&SCRIPT/JUGGDEATH_1,icon_death_hint_flash
74,&SCRIPT/JUGGDEATH_2,
75,&SCRIPT/JUGGDEATH_3,
76,&STPETERSBURG/PURSUIT_FAIL,
77,&SCRIPT/MISSIONFAIL_KILLEDHVT,
78,&HOMETOWN/HIDE_FROM_SOLDIER_HINT,
79,&HOMETOWN/BOSS_NEW_WEAPON_DEATH,
80,&HOMETOWN/GAS_ATTACK_DEATH,
81,&HOMETOWN/HIDE_IN_FOLIAGE,icon_death_hint_foliage
82,&HOMETOWN/CALL_PHONE,
83,&STPETERSBURG_BOUNCER_DEATH,
84,&STPETERSBURG/ENFORCER_DEATH,
85,&SAFEHOUSE/WEAPON_HOLSTER_DEATH_HINT,
86,&SAFEHOUSE/GUARD_PROXIMITY_DEATH_HINT,
87,&SAFEHOUSE/HIDDEN_DEATH_HINT,
88,&PICCADILLY/ROE_FAIL,
89,&STPETERSBURG/ENFORCER_POLICE_DEATH,
90,&STPETERSBURG/VAN_DESTROYED,
91,&STPETERSBURG/INTERROGATION_DEATH,
92,&STPETERSBURG/ESCORT_HOSTAGE_DEATH,
93,&HOMETOWN/BOSS_CONTEXT_MELEE_FAIL1,
94,&HOMETOWN/BOSS_CONTEXT_MELEE_FAIL2,
95,&HOMETOWN/BOSS_CONTEXT_MELEE_FAIL3,
96,&SAFEHOUSE/DEATH_HINT_GRENADE_THROWN,
97,&LAB/JUGG_DEATH_HINT_1,
98,&LAB/JUGG_DEATH_HINT_2,
99,&SAFEHOUSE/DEATH_HINT_BLEND_IN,
100,&DEADQUOTE/MW00,
101,&DEADQUOTE/MW01,
102,&DEADQUOTE/MW02,
103,&DEADQUOTE/MW03,
104,&DEADQUOTE/MW04,
105,&DEADQUOTE/MW05,
106,&DEADQUOTE/MW06,
107,&DEADQUOTE/MW07,
108,&DEADQUOTE/MW08,
109,&DEADQUOTE/MW09,
110,&DEADQUOTE/MW10,
111,&DEADQUOTE/MW11,
112,&DEADQUOTE/MW12,
113,&DEADQUOTE/MW13,
114,&DEADQUOTE/MW14,
115,&DEADQUOTE/MW15,
116,&DEADQUOTE/MW16,
117,&DEADQUOTE/MW17,
118,&DEADQUOTE/MW18,
119,&DEADQUOTE/MW19,
120,&DEADQUOTE/MW20,
121,&DEADQUOTE/MW21,
122,&DEADQUOTE/MW22,
123,&DEADQUOTE/MW23,
124,&DEADQUOTE/MW24,
125,&DEADQUOTE/MW25,
126,&DEADQUOTE/MW26,
127,&DEADQUOTE/MW27,
128,&DEADQUOTE/MW28,
129,&DEADQUOTE/MW29,
130,&DEADQUOTE/MW30,
131,&DEADQUOTE/MW31,
132,&DEADQUOTE/MW32,
133,&DEADQUOTE/MW33,
134,&DEADQUOTE/MW34,
135,&DEADQUOTE/MW35,
136,&DEADQUOTE/MW36,
137,&DEADQUOTE/MW37,
138,&DEADQUOTE/MW38,
139,&DEADQUOTE/MW39,
140,&DEADQUOTE/MW40,
141,&DEADQUOTE/MW41,
142,&DEADQUOTE/MW42,
143,&DEADQUOTE/MW43,
144,&DEADQUOTE/MW44,
145,&DEADQUOTE/MW45,
146,&DEADQUOTE/MW46,
147,&DEADQUOTE/MW47,
148,&DEADQUOTE/MW48,
149,&DEADQUOTE/MW49,
150,&DEADQUOTE/MW50,
151,&DEADQUOTE/MW51,
152,&DEADQUOTE/MW52,
153,&DEADQUOTE/MW53,
154,&DEADQUOTE/MW54,
155,&DEADQUOTE/MW55,
156,&DEADQUOTE/MW56,
157,&DEADQUOTE/MW57,
158,&DEADQUOTE/MW58,
159,&DEADQUOTE/MW59,
160,&DEADQUOTE/MW60,
161,&DEADQUOTE/MW61,
162,&DEADQUOTE/MW62,
163,&DEADQUOTE/MW63,
164,&DEADQUOTE/MW64,
165,&DEADQUOTE/MW65,
166,&DEADQUOTE/MW66,
167,&DEADQUOTE/MW67,
168,&DEADQUOTE/MW68,
169,&DEADQUOTE/MW69,
170,&DEADQUOTE/MW70,
171,&DEADQUOTE/MW71,
172,&DEADQUOTE/MW72,
173,&DEADQUOTE/MW73,
174,&DEADQUOTE/MW74,
175,&DEADQUOTE/MW75,
176,&DEADQUOTE/MW76,
177,&DEADQUOTE/MW77,
178,&DEADQUOTE/MW78,
179,&DEADQUOTE/MW79,
180,&DEADQUOTE/MW80,
181,&DEADQUOTE/MW81,
182,&DEADQUOTE/MW82,
183,&DEADQUOTE/MW83,
184,&DEADQUOTE/MW84,
185,&DEADQUOTE/MW85,
186,&DEADQUOTE/MW86,
187,&DEADQUOTE/MW87,
188,&DEADQUOTE/MW88,
189,&DEADQUOTE/MW89,
190,&DEADQUOTE/MW90,
191,&DEADQUOTE/MW91,
192,&DEADQUOTE/MW92,
193,&DEADQUOTE/MW93,
194,&DEADQUOTE/MW94,
195,&DEADQUOTE/MW95,
196,&DEADQUOTE/MW96,
197,&DEADQUOTE/MW97,
198,&DEADQUOTE/MW98,
199,&DEADQUOTE/MW99,
200,&__END_OF_DEADQUOTE__,
201,&SCRIPT/STEALTH_GUNSHOT_HINT,
202,&SCRIPT/BOTTLE_DEATH_HINT,
203,&SCRIPT/STEALTH_STANDING_FOOTSTEPS_HINT,icon_death_hint_crouch
204,&WOUNDED/CONTEXT_MELEE_FAIL_HINT,
205,&GUNSHIP/BUILDING_FAIL_1,
206,&GUNSHIP/BUILDING_FAIL_2,
207,&GUNSHIP/BUILDING_FAIL_3,
208,&GUNSHIP/FLUSH_FAIL_1,
209,&GUNSHIP/FLUSH_FAIL_2,
210,&GUNSHIP/FLUSH_FAIL_3,
211,&GUNSHIP/HVT_KILLED_1,
212,&GUNSHIP/HVT_KILLED_2,
213,&GUNSHIP/HVT_KILLED_3,
214,&GUNSHIP/HVT_ESCAPED_1,
215,&GUNSHIP/HVT_ESCAPED_2,
216,&GUNSHIP/HVT_ESCAPED_3,
217,&GUNSHIP/HVT_SCAN_FAIL,
218,&GUNSHIP/HVT_SCAN_FAIL_WORKER,
219,&GUNSHIP/HILL_BUILDING_FAIL_1,
220,&GUNSHIP/HILL_BUILDING_FAIL_2,
221,&GUNSHIP/HILL_BUILDING_FAIL_VEHICLE_1,icon_ks_jugg_hud
222,&GUNSHIP/HILL_BUILDING_FAIL_VEHICLE_2,icon_ks_jugg_hud
223,&SCRIPT/DEATH_MINEFIELD,
224,&GUNSHIP/STINGER_FAIL_1,
225,&GUNSHIP/ROOFTOP_RPG_FAIL_1,
226,&NIGHTWAR/SNIPER_DEATH,
227,&GUNSHIP/PMC_FAIL_1,
228,&GUNSHIP/PMC_FAIL_2,icon_waypoint_tank
229,&GUNSHIP/MORTAR_FAIL_1,alien_icon_double_mortar
230,&NIGHTWAR/RESCUE_CHOPPER_EARLY,
231,&WOUNDED/ARMORED_ENEMY_DEATH_HINT,
232,&SCRIPT/SWIM_DEATH,
233,&SHADOWBASE/USE_HELI_DEATH_HINT,
234,&BACKSTABBED/LEDGE_HANG_TUT_A,
235,&BACKSTABBED/TACTICAL_SPRINT_TUT_B,
236,&SHADOWBASE/HANGAR3_DEATH_HINT,
237,&SHADOWBASE/GRAVES_FAIL,
238,&PRISON/SNIPING_FAIL,
239,&PRISON/STEALTH_FAIL,
240,&PRISON/CCTV_BODYFOUND_FAIL,
241,&PRISON/EXFILL_FAIL,
242,&GUNSHIP/FRIENDLY_FIRE,
243,&PRISON/CCTV_KILL_HINT,
244,&GUNSHIP_AMBUSH/CHURCH_FAIL,
245,&GUNSHIP_AMBUSH/BUILDING_FAIL,
246,&BACKSTABBED/TACTICAL_SPRINT_TUT_B_PRESS,
247,&BACKSTABBED/BKS_SHIMMY_HINT,
301,&TRIALS_MODE/TIMER_01,
302,&TRIALS_MODE/TIMER_02,
303,&TRIALS_MODE/PRIMARY_CHALLENGES,
304,&TRIALS_MODE/SECONDARY_CHALLENGES,
305,&TRIALS_MODE/NVG_HINT,
306,&SCRIPT/SWIM_DEATH,
401,&MARINES/MG_DEATH,
402,&MARINES/TRIPWIRE_DEATH,icon_death_hint_tripwire
403,&MARINES/FRIEND_OR_FOE_DEATH,
404,&MARINES/MACHINEGUN_DEATH,
405,&MARINES/WOLF_HOSTAGE_FAIL,
406,&MARINES/WOLF_KILLED_FAIL,
407,&MARINES/WOLF_STEALTH_FAIL,
408,&MARINES/WOLF_TIMER_FAIL,
409,&MARINES/LEAVE_MISSION_AREA,
410,&MARINES/CIVILIAN_KILLED,
411,&MARINES/HOSTAGE_EXECUTED,
412,&MARINES/HOSTAGE_KILLED,
413,&MARINES/RETREAT_HOLD_POSITION,
414,&MARINES/SNAKECAM_FAIL,
415,&MARINES/WOLF_SHELF_HAZARD,
425,&STPETERSBURG/DONT_ALERT_ENEMIES,
426,&STPETERSBURG/DIDNT_KILL_FAST,
427,&STPETERSBURG/DONT_ALERT_ENEMIES_BAR,
428,&STPETERSBURG/RPG_KILLED_ENFORCER,
429,&STPETERSBURG/LEAVE_MISSION_AREA,
430,&STPETERSBURG/PRICE_KILLED,
431,&STPETERSBURG/FAIL_WEAPON_HOLSTER,
432,&STPETERSBURG/COPS_ARRIVED,
433,&STPETERSBURG/FRIENDLY_FIRE_FAIL,
434,&STPETERSBURG/INTRG_FAMILY_KILL_FAIL,
435,&STPETERSBURG/INTRG_FAMILY_KILL_FAIL3,
436,&ESTATE/HVT_KILLED_3,
437,&ESTATE/HVT_KILLED_4,
438,&GAME/MISSIONFAILED,
440,&PARTY/DIEGA_DEATH_HINT,
441,&PARTY/DIEGA_ESCAPED_DEATH_HINT,
442,&TOWER/BROKEN_GLASS_DEATH_HINT,
443,&TOWER/BOSS_AVOID_DEATH_HINT,
444,&NIGHTWAR_DRIVE/ENEMY_MINE_DEATH,
445,&TOWER/BOSS_MELEE_DEATH_HINT,
446,&TOWER/CHEMICALS_DEATH_HINT,
447,&TOWER/SMOKE_BOMB_DEATH_HINT,
448,&TOWER/BOSS_MISSILE_DEATH_HINT,
449,&TOWER/MICROWAVE_DEATH_HINT,
450,&TOWER/BOSS_STUN_DEATH_HINT,
451,&TOWER/RAPPEL_FAIL_DISENGAGE,
452,&TOWER/RAPPEL_FAIL_SKIP,
453,&SHADOWBASE/FAIL_SHOOTING,
454,&SHADOWBASE/FAIL_SPOTTER,
455,&STRIKE/GHORBRANI_KILL_FAIL,
456,&STRIKE/MISSILE_INVERSE_PITCH_HINT,
466,&CONVOY_CHASE/PRIMARY_FAIL,
467,&MONTAGE_CANALS/FAIL_HINT_POLICE,
468,&MONTAGE_CANALS/FAIL_HINT_EARLY,
