string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,2796,,,0,2483,,,0,2874,,,0,3347,,,0
1,3645,,,1,3645,,,1,11422,,,1,,,,
2,3767,,,1,11409,,,1,,,,,,,,
3,3600,,,1,11425,,,1,,,,,,,,
4,3910,,,1,11414,,,1,,,,,,,,
5,1866,,,1,11428,,,1,,,,,,,,
6,2473,,,2,11411,,,2,,,,,,,,
7,11417,,,2,,,,,,,,,,,,
8,3465,,,2,3620,,,2,11423,,,2,,,,
9,899,,,2,11420,,,2,,,,,,,,
10,3179,,,2,3179,,,2,,,,,,,,
11,3787,,,3,3787,,,3,3787,,,3,11418,,,3
12,863,,,3,11373,,,3,,,,,,,,
13,875,,,3,875,,,3,,,,,,,,
14,1758,,,3,,,,,,,,,,,,
15,3558,,,3,,,,,,,,,,,,
16,2543,,,4,,,,,,,,,,,,
17,1063,,,4,,,,,,,,,,,,
18,2637,,,4,2637,,,4,2637,,,4,,,,
19,2336,,,4,11318,,,4,,,,,,,,
20,11794,,,4,,,,,,,,,,,,
