string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,1857,,,0,1486,,,0,1385,,,0,2843,,,0,635,,,0
1,11440,,,1,,,,,,,,,,,,,,,,
2,3604,,,1,3604,,,1,11485,,,1,,,,,,,,
3,2253,,,1,11441,,,1,,,,,,,,,,,,
4,3617,,,1,11458,,,1,,,,,,,,,,,,
5,3131,,,1,3131,,,1,3131,,,1,3131,,,1,11435,,,1
6,11453,,,2,,,,,,,,,,,,,,,,
7,3580,,,2,11447,,,2,,,,,,,,,,,,
8,2009,,,2,11462,,,2,,,,,,,,,,,,
9,2042,,,2,,,,,,,,,,,,,,,,
10,3060,,,2,11323,,,2,,,,,,,,,,,,
11,3793,,,3,,,,,,,,,,,,,,,,
12,2712,,,3,,,,,,,,,,,,,,,,
13,1437,,,3,2773,,,3,11484,,,3,,,,,,,,
14,681,,,3,,,,,,,,,,,,,,,,
15,3875,,,3,,,,,,,,,,,,,,,,
16,690,,,4,690,,,4,,,,,,,,,,,,
17,1469,,,4,,,,,,,,,,,,,,,,
18,2291,,,4,2291,,,4,2291,,,4,,,,,,,,
19,3481,,,4,,,,,,,,,,,,,,,,
20,11762,,,4,,,,,,,,,,,,,,,,
