string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,3875,,,0,2724,,,0,1211,,,0,,,,
1,11479,,,1,,,,,,,,,,,,
2,650,,,1,11449,,,1,,,,,,,,
3,11444,,,1,,,,,,,,,,,,
4,602,,,1,,,,,,,,,,,,
5,11478,,,1,,,,,,,,,,,,
6,3109,,,2,,,,,,,,,,,,
7,11461,,,2,,,,,,,,,,,,
8,1376,,,2,,,,,,,,,,,,
9,1382,,,2,11486,,,2,,,,,,,,
10,11465,,,2,,,,,,,,,,,,
11,3430,,,3,11439,,,3,,,,,,,,
12,2958,,,3,,,,,,,,,,,,
13,1461,,,3,,,,,,,,,,,,
14,11450,,,3,,,,,,,,,,,,
15,1873,,,3,1873,,,3,,,,,,,,
16,3644,,,4,3644,,,4,3644,,,4,11439,,,4
17,849,,,4,,,,,,,,,,,,
18,11779,,,4,,,,,,,,,,,,
