string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,2190,,,0,2642,,,0,752,,,0,1097,,,0,1960,,,0
1,1712,,,1,12849,,,1,,,,,,,,,,,,
2,1416,,,1,12822,,,1,,,,,,,,,,,,
3,2162,,,1,12840,,,1,,,,,,,,,,,,
4,2571,,,1,12846,,,1,,,,,,,,,,,,
5,2780,,,1,12831,,,1,,,,,,,,,,,,
6,597,,,2,12844,,,2,,,,,,,,,,,,
7,585,,,2,585,,,2,12821,,,2,,,,,,,,
8,696,,,2,696,,,2,,,,,,,,,,,,
9,2407,,,2,12832,,,2,,,,,,,,,,,,
10,1454,,,2,12825,,,2,,,,,,,,,,,,
11,2515,,,3,1454,,,3,11336,,,3,,,,,,,,
12,3234,,,3,,,,,,,,,,,,,,,,
13,2777,,,3,2777,,,3,,,,,,,,,,,,
14,11761,,,3,,,,,,,,,,,,,,,,
