string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,2995,,,0,834,,,0,2068,,,0,3626,,,0,3305,,,0
1,11555,,,1,,,,,,,,,,,,,,,,
2,11539,,,1,,,,,,,,,,,,,,,,
3,1744,,,1,1744,,,1,11543,,,1,,,,,,,,
4,11542,,,1,,,,,,,,,,,,,,,,
5,1177,,,1,,,,,,,,,,,,,,,,
6,11556,,,2,,,,,,,,,,,,,,,,
7,2894,,,2,,,,,,,,,,,,,,,,
8,11541,,,2,,,,,,,,,,,,,,,,
9,625,,,2,,,,,,,,,,,,,,,,
10,11554,,,2,,,,,,,,,,,,,,,,
11,1946,,,3,11547,,,3,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
13,3450,,,3,,,,,,,,,,,,,,,,
14,932,,,3,11552,,,3,,,,,,,,,,,,
15,1226,,,3,,,,,,,,,,,,,,,,
16,2459,,,4,,,,,,,,,,,,,,,,
17,1535,,,4,,,,,,,,,,,,,,,,
18,2027,,,4,,,,,,,,,,,,,,,,
19,2540,,,4,,,,,,,,,,,,,,,,
20,1265,,,4,,,,,,,,,,,,,,,,
21,1546,,,5,,,,,,,,,,,,,,,,
22,11793,,,5,,,,,,,,,,,,,,,,
