string,string,localized,int
invalid,UNKNOWN,&PRESENCE/SP_UNKNOWN_MAP,0
strike,GOLD,&PRESENCE/SP_STRIKE,0
nightwar,GOLD,&PRESENCE/SP_NIGHTWAR,0
marina,GOLD,&PRESENCE/SP_MARINA,0
montage_canals,GOLD,&PRESENCE/SP_MONTAGE_CANALS,0
border,GOLD,&PRESENCE/SP_BORDER,0
backstabbed,GOLD,&PRESENCE/SP_BACKSTABBED,0
gunship_ambush,GOLD,&PRESENCE/SP_GUNSHIP_AMBUSH,0
gunship_compound,GOLD,&PRESENCE/SP_GUNSHIP_COMPOUND,0
intercept,GOLD,&PRESENCE/SP_INTERCEPT,0
convoy_chase,GOLD,&PRESENCE/SP_CONVOY_CHASE,0
party,GOLD,&PRESENCE/SP_PARTY,0
shipaf,GOLD,&PRESENCE/SP_SHIPAF,0
wounded,GOLD,&PRESENCE/SP_WOUNDED,0
prison,GOLD,&PRESENCE/SP_PRISON,0
stolen,GOLD,&PRESENCE/SP_STOLEN,0
shadowbase,GOLD,&PRESENCE/SP_SHADOWBASE,0
tower,GOLD,&PRESENCE/SP_TOWER,0
