string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,949,,,0,1929,,,0,2296,,,0,,,,,,,,
1,10621,,,1,,,,,,,,,,,,,,,,
2,3901,,,1,11127,,,1,,,,,,,,,,,,
3,10990,,,1,,,,,,,,,,,,,,,,
4,2802,,,1,11124,,,1,,,,,,,,,,,,
5,10936,,,1,,,,,,,,,,,,,,,,
6,2676,,,2,,,,,,,,,,,,,,,,
7,1916,,,2,3161,,,2,2623,,,2,1098,,,2,1862,,,2
8,2770,,,2,,,,,,,,,,,,,,,,
9,3895,,,2,,,,,,,,,,,,,,,,
10,1655,,,2,11109,,,2,,,,,,,,,,,,
11,1915,,,3,1915,,,3,,,,,,,,,,,,
12,1593,,,3,11126,,,3,,,,,,,,,,,,
13,630,,,3,11096,,,3,,,,,,,,,,,,
14,3921,,,3,,,,,,,,,,,,,,,,
15,2335,,,3,11098,,,3,,,,,,,,,,,,
16,1841,,,4,,,,,,,,,,,,,,,,
17,2776,,,4,,,,,,,,,,,,,,,,
18,1982,,,4,,,,,,,,,,,,,,,,
19,11751,,,4,,,,,,,,,,,,,,,,
