string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,2174,,,0,3903,,,0,2053,,,0,3876,,,0,3218,,,0
1,1127,,,1,13259,,,1,,,,,,,,,,,,
2,747,,,1,13275,,,1,,,,,,,,,,,,
3,3327,,,1,13288,,,1,,,,,,,,,,,,
4,2298,,,1,13294,,,1,,,,,,,,,,,,
5,1270,,,1,,,,,,,,,,,,,,,,
6,1275,,,2,13258,,,2,,,,,,,,,,,,
7,3248,,,2,13265,,,2,,,,,,,,,,,,
8,2597,,,2,13264,,,2,,,,,,,,,,,,
9,3649,,,2,13288,,,2,,,,,,,,,,,,
10,1788,,,2,,,,,,,,,,,,,,,,
11,2557,,,3,,,,,,,,,,,,,,,,
12,708,,,3,,,,,,,,,,,,,,,,
13,2279,,,3,13238,,,3,,,,,,,,,,,,
14,3462,,,3,,,,,,,,,,,,,,,,
15,2197,,,3,,,,,,,,,,,,,,,,
16,3732,,,4,,,,,,,,,,,,,,,,
17,747,,,4,,,,,,,,,,,,,,,,
18,2829,,,4,,,,,,,,,,,,,,,,
19,2924,,,4,,,,,,,,,,,,,,,,
20,2203,,,4,,,,,,,,,,,,,,,,
21,3190,,,5,,,,,,,,,,,,,,,,
22,2367,,,5,,,,,,,,,,,,,,,,
23,2627,,,5,,,,,,,,,,,,,,,,
24,1706,,,5,,,,,,,,,,,,,,,,
25,2531,,,5,,,,,,,,,,,,,,,,
26,2023,,,6,,,,,,,,,,,,,,,,
27,2794,,,6,,,,,,,,,,,,,,,,
28,11782,,,6,,,,,,,,,,,,,,,,
