string,string,string
loadoutName,CLASS/CLASS1,CLASS/CLASS2
loadoutPrimary,iw9_pi_golf17_mp,iw9_pi_papa220_mp
loadoutPrimaryAttachment1,none,none
loadoutPrimaryAttachment2,none,none
loadoutPrimaryAttachment3,none,none
loadoutPrimaryAttachment4,none,none
loadoutPrimaryAttachment5,none,none
loadoutPrimaryCamo,none,none
loadoutPrimaryReticle,none,none
loadoutSecondary,iw9_me_fists_mp,iw9_me_fists_mp
loadoutSecondaryAttachment1,none,none
loadoutSecondaryAttachment2,none,none
loadoutSecondaryAttachment3,none,none
loadoutSecondaryAttachment4,none,none
loadoutSecondaryAttachment5,none,none
loadoutSecondaryCamo,none,none
loadoutSecondaryReticle,none,none
loadoutEquipmentPrimary,none,none
loadoutExtraPowerPrimary,FALSE,FALSE
loadoutEquipmentSecondary,none,none
loadoutExtraPowerSecondary,FALSE,FALSE
loadoutPerk1,specialty_null,specialty_null
loadoutPerk2,specialty_null,specialty_null
loadoutPerk3,specialty_null,specialty_null
loadoutExtraPerk1,specialty_null,specialty_null
loadoutExtraPerk2,specialty_null,specialty_null
loadoutExtraPerk3,specialty_null,specialty_null
loadoutOverkill,FALSE,FALSE
