string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,3466,,,0,2399,,,0,3653,,,0,2118,,,0,1620,,,0
1,603,,,1,,,,,,,,,,,,,,,,
2,984,,,1,,,,,,,,,,,,,,,,
3,2991,,,1,,,,,,,,,,,,,,,,
4,593,,,1,,,,,,,,,,,,,,,,
5,2523,,,1,,,,,,,,,,,,,,,,
6,2079,,,2,,,,,,,,,,,,,,,,
7,636,,,2,,,,,,,,,,,,,,,,
8,2906,,,2,,,,,,,,,,,,,,,,
9,1559,,,2,,,,,,,,,,,,,,,,
10,1305,,,2,,,,,,,,,,,,,,,,
11,1123,,,3,11377,,,3,,,,,,,,,,,,
12,3042,,,3,,,,,,,,,,,,,,,,
13,1643,,,3,,,,,,,,,,,,,,,,
14,1103,,,3,,,,,,,,,,,,,,,,
15,1928,,,3,,,,,,,,,,,,,,,,
16,1042,,,4,,,,,,,,,,,,,,,,
17,923,,,4,,,,,,,,,,,,,,,,
18,3319,,,4,,,,,,,,,,,,,,,,
19,3229,,,4,11376,,,4,,,,,,,,,,,,
20,2603,,,4,,,,,,,,,,,,,,,,
21,1750,,,5,,,,,,,,,,,,,,,,
22,1245,,,5,,,,,,,,,,,,,,,,
23,1789,,,5,,,,,,,,,,,,,,,,
24,2790,,,5,,,,,,,,,,,,,,,,
25,1494,,,5,,,,,,,,,,,,,,,,
26,3321,,,6,,,,,,,,,,,,,,,,
27,2992,,,6,,,,,,,,,,,,,,,,
28,2465,,,6,,,,,,,,,,,,,,,,
29,11788,,,6,,,,,,,,,,,,,,,,
