string,string,string,localized,string,string,string,string,string,string,string,string
0,ui_emblem_mobile_005,ui_emblem_mobile_005,&EMBLEMS/EMBLEM_005,standard,,,,,,1,
1,ui_emblem_mobile_001,ui_emblem_mobile_001,&EMBLEMS/EMBLEM_001,standard,,,,,,1,
2,ui_emblem_mobile_002,ui_emblem_mobile_002,&EMBLEMS/EMBLEM_002,standard,,,,,,1,
3,ui_emblem_mobile_003,ui_emblem_mobile_003,&EMBLEMS/EMBLEM_003,standard,,,,,,1,
4,ui_emblem_mobile_004,ui_emblem_mobile_004,&EMBLEMS/EMBLEM_004,standard,,,,,,1,
5,ui_emblem_mobile_005,ui_emblem_mobile_005,&EMBLEMS/EMBLEM_005,standard,,,,,,1,
6,ui_emblem_mobile_006,ui_emblem_mobile_006,&EMBLEMS/EMBLEM_006,standard,,,,,,1,
7,ui_emblem_mobile_007,ui_emblem_mobile_007,&EMBLEMS/EMBLEM_007,standard,,,,,,1,
8,ui_emblem_mobile_008,ui_emblem_mobile_008,&EMBLEMS/EMBLEM_008,standard,,,,,,1,
9,ui_emblem_mobile_009,ui_emblem_mobile_009,&EMBLEMS/EMBLEM_009,standard,,,,,,1,
10,ui_emblem_mobile_010,ui_emblem_mobile_010,&EMBLEMS/EMBLEM_010,standard,,,,,,1,
11,ui_emblem_mobile_011,ui_emblem_mobile_011,&EMBLEMS/EMBLEM_011,standard,,,,,,1,
12,ui_emblem_mobile_012,ui_emblem_mobile_012,&EMBLEMS/EMBLEM_012,standard,,,,,,1,
13,ui_emblem_mobile_013,ui_emblem_mobile_013,&EMBLEMS/EMBLEM_013,standard,,,,,,1,
14,ui_emblem_mobile_014,ui_emblem_mobile_014,&EMBLEMS/EMBLEM_014,standard,,,,,,1,
15,ui_emblem_mobile_015,ui_emblem_mobile_015,&EMBLEMS/EMBLEM_015,standard,,,,,,1,
16,ui_emblem_mobile_016,ui_emblem_mobile_016,&EMBLEMS/EMBLEM_016,standard,,,,,,1,
17,ui_emblem_mobile_017,ui_emblem_mobile_017,&EMBLEMS/EMBLEM_017,standard,,,,,,1,
18,ui_emblem_mobile_018,ui_emblem_mobile_018,&EMBLEMS/EMBLEM_018,standard,,,,,,1,
19,ui_emblem_mobile_019,ui_emblem_mobile_019,&EMBLEMS/EMBLEM_019,standard,,,,,,1,
20,ui_emblem_mobile_020,ui_emblem_mobile_020,&EMBLEMS/EMBLEM_020,standard,,,,,,1,
21,ui_emblem_mobile_021,ui_emblem_mobile_021,&EMBLEMS/EMBLEM_021,standard,,TRUE,1,,,0,
22,ui_emblem_mobile_022,ui_emblem_mobile_022,&EMBLEMS/EMBLEM_022,standard,,TRUE,1,,,0,
23,ui_emblem_mobile_023,ui_emblem_mobile_023,&EMBLEMS/EMBLEM_023,standard,,TRUE,1,,,0,
24,ui_emblem_mobile_024,ui_emblem_mobile_024,&EMBLEMS/EMBLEM_024,standard,,TRUE,1,,,0,
25,ui_emblem_mobile_025,ui_emblem_mobile_025,&EMBLEMS/EMBLEM_025,standard,,TRUE,1,,,0,
26,ui_emblem_mobile_026,ui_emblem_mobile_026,&EMBLEMS/EMBLEM_026,standard,,TRUE,1,,,0,
27,ui_emblem_mobile_027,ui_emblem_mobile_027,&EMBLEMS/EMBLEM_027,standard,,TRUE,1,,,0,
28,ui_emblem_mobile_028,ui_emblem_mobile_028,&EMBLEMS/EMBLEM_028,standard,,TRUE,1,,,0,
29,ui_emblem_mobile_029,ui_emblem_mobile_029,&EMBLEMS/EMBLEM_029,standard,,TRUE,1,,,0,
30,ui_emblem_mobile_030,ui_emblem_mobile_030,&EMBLEMS/EMBLEM_030,standard,,TRUE,1,,,0,
31,ui_emblem_mobile_031,ui_emblem_mobile_031,&EMBLEMS/EMBLEM_031,standard,,TRUE,1,,,0,
32,ui_emblem_mobile_032,ui_emblem_mobile_032,&EMBLEMS/EMBLEM_032,standard,,TRUE,1,,,0,
