string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
1,2515,,,0,3345,,,0,696,,,0,1454,,,0
2,12828,,,1,,,,,,,,,,,,
3,3733,,,1,12837,,,1,,,,,,,,
4,12845,,,1,,,,,,,,,,,,
5,3303,,,1,3303,,,1,,,,,,,,
6,2873,,,1,2873,,,1,12826,,,1,,,,
7,3064,,,2,12838,,,2,,,,,,,,
8,3724,,,2,3724,,,2,12827,,,2,,,,
9,12842,,,2,,,,,,,,,,,,
10,1636,,,2,12839,,,2,,,,,,,,
11,,,,,,,,,,,,,,,,
12,1822,,,3,,,,,,,,,,,,
13,3279,,,3,,,,,,,,,,,,
15,2446,,,3,,,,,,,,,,,,
15,12829,,,3,,,,,,,,,,,,
16,2433,,,3,,,,,,,,,,,,
17,2552,,,4,,,,,,,,,,,,
18,2726,,,4,,,,,,,,,,,,
19,2138,,,4,,,,,,,,,,,,
20,1310,,,4,,,,,,,,,,,,
21,1126,,,4,,,,,,,,,,,,
22,11780,,,5,,,,,,,,,,,,
