string,string,string,string,string
announce,investigate,investigate_generic_10,,
announce,coverblown,coverblown_generic_10,,
announce,combat,combat_generic_10,,
announce,ally_killed,ally_killed_10,,
announce,damage,damage_generic_10,,
announce,footstep,footstep_generic_10,,
announce,footstep_walk,footstep_generic_10,,
announce,footstep_sprint,footstep_sprint_10,,
announce,glass_destroyed,glass_destroyed_10,,
announce,grenade_danger,grenade_danger_10,,
announce,light_killed,light_killed_10,,
announce,proximity,proximity_generic_10,,
announce,saw_corpse,saw_corpse_10,,
announce,sight,sight_generic_10,,
announce,silenced_shot,silenced_shot_10,,
announce,window_open,window_open_10,,
announce,bottle_broke,investigate_generic_10,,
announce,bottle_broke,proximity_generic_10,,
announce,bulletwhizby,bulletwhizby_generic_10,,
announce,drone_spotted,drone_spotted_10,drone_spotted_r_10,
announce,explosion,explosion_generic_10,explosion_generic_r_10,
announce,found_corpse,found_corpse_10,found_corpse_r_10,
announce,gunshot,gunshot_generic_10,gunshot_generic_r_10,
announce,gunshot_teammate,gunshot_teammate_10,gunshot_teammate_r_10,
announce,alertreset,alert_reset_10,alert_reset_r_10,
announce,teaminquiry,team_inquiry_10,team_inquiry_r_10,
announce,seek_backup,seek_backup_10,seek_backup_r_10,
announce,unresponsive_teammate,unresponsive_teammate_10,unresponsive_teammate_r_10,
announce,first_lost,hunt_firstlost_10,hunt_firstlost_r_10,hunt_firstlost_resp_r_10
announce,lost_sight,lost_sight_10,lost_sight_r_10,lost_sight_resp_r_10
announce,sighted_warning1,investigate_generic_10,,
announce,sighted_warning2,proximity_generic_10,,
announce,sighted_warning3,footstep_walk_10,,
announce,sighted_warning4,footstep_generic_10,,
