string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,8022,rank_00,5127,5134,9185,9129,9094,9118,9085,9236,9269,9145,9151,9169,9171,9202,9206,9216,9244,11354,11362,11350,11344,11303,11352,11356,11311,11317
1,8014,rank_01,5135,,,,,,,,,,,,,,,,,,,,,,,,,
2,8023,rank_02,5130,,,,,,,,,,,,,,,,,,,,,,,,,
3,8004,rank_03,5138,11374,,,,,,,,,,,,,,,,,,,,,,,,
4,7994,rank_04,9268,,,,,,,,,,,,,,,,,,,,,,,,,
5,8016,rank_05,9170,,,,,,,,,,,,,,,,,,,,,,,,,
6,7987,rank_06,9095,11330,,,,,,,,,,,,,,,,,,,,,,,,
7,8019,rank_07,9203,,,,,,,,,,,,,,,,,,,,,,,,,
8,8035,rank_08,9161,11366,,,,,,,,,,,,,,,,,,,,,,,,
9,8020,rank_09,9086,,,,,,,,,,,,,,,,,,,,,,,,,
10,8010,rank_10,9199,,,,,,,,,,,,,,,,,,,,,,,,,
11,7985,rank_11,9225,,,,,,,,,,,,,,,,,,,,,,,,,
12,7990,rank_12,9148,11324,,,,,,,,,,,,,,,,,,,,,,,,
13,8015,rank_13,9210,11326,,,,,,,,,,,,,,,,,,,,,,,,
14,8013,rank_14,9112,,,,,,,,,,,,,,,,,,,,,,,,,
15,7988,rank_15,9230,11339,,,,,,,,,,,,,,,,,,,,,,,,
16,7997,rank_16,9099,11355,,,,,,,,,,,,,,,,,,,,,,,,
17,8008,rank_17,9153,,,,,,,,,,,,,,,,,,,,,,,,,
18,7989,rank_18,9082,,,,,,,,,,,,,,,,,,,,,,,,,
19,8021,rank_19,9078,,,,,,,,,,,,,,,,,,,,,,,,,
20,7982,rank_20,9213,,,,,,,,,,,,,,,,,,,,,,,,,
21,7992,rank_21,9150,,,,,,,,,,,,,,,,,,,,,,,,,
22,8027,rank_22,9104,11305,,,,,,,,,,,,,,,,,,,,,,,,
23,7999,rank_23,9254,11337,,,,,,,,,,,,,,,,,,,,,,,,
24,7991,rank_24,9084,11314,,,,,,,,,,,,,,,,,,,,,,,,
25,7995,rank_25,9212,,,,,,,,,,,,,,,,,,,,,,,,,
26,8028,rank_26,9158,,,,,,,,,,,,,,,,,,,,,,,,,
27,8024,rank_27,9198,11329,,,,,,,,,,,,,,,,,,,,,,,,
28,8017,rank_28,9111,,,,,,,,,,,,,,,,,,,,,,,,,
29,8006,rank_29,9266,,,,,,,,,,,,,,,,,,,,,,,,,
30,8000,rank_30,9193,11307,,,,,,,,,,,,,,,,,,,,,,,,
31,8030,rank_31,9168,11351,,,,,,,,,,,,,,,,,,,,,,,,
32,8002,rank_32,9238,,,,,,,,,,,,,,,,,,,,,,,,,
33,8003,rank_33,9191,,,,,,,,,,,,,,,,,,,,,,,,,
34,8009,rank_34,9167,,,,,,,,,,,,,,,,,,,,,,,,,
35,7996,rank_35,9125,,,,,,,,,,,,,,,,,,,,,,,,,
36,7998,rank_36,9214,11313,,,,,,,,,,,,,,,,,,,,,,,,
37,8007,rank_37,9251,11315,,,,,,,,,,,,,,,,,,,,,,,,
38,7993,rank_38,9215,11367,,,,,,,,,,,,,,,,,,,,,,,,
39,7983,rank_39,9092,,,,,,,,,,,,,,,,,,,,,,,,,
40,8005,rank_40,9217,11372,,,,,,,,,,,,,,,,,,,,,,,,
41,7984,rank_41,9154,,,,,,,,,,,,,,,,,,,,,,,,,
42,8012,rank_42,9253,,,,,,,,,,,,,,,,,,,,,,,,,
43,8036,rank_43,9194,11358,,,,,,,,,,,,,,,,,,,,,,,,
44,8029,rank_44,9247,5133,,,,,,,,,,,,,,,,,,,,,,,,
45,8018,rank_45,9119,,,,,,,,,,,,,,,,,,,,,,,,,
46,8034,rank_46,9186,,,,,,,,,,,,,,,,,,,,,,,,,
47,8032,rank_47,9146,,,,,,,,,,,,,,,,,,,,,,,,,
48,8001,rank_48,9090,,,,,,,,,,,,,,,,,,,,,,,,,
49,8011,rank_49,9188,,,,,,,,,,,,,,,,,,,,,,,,,
50,8033,rank_50,9179,9250,,,,,,,,,,,,,,,,,,,,,,,,
51,8025,rank_51,9183,,,,,,,,,,,,,,,,,,,,,,,,,
52,8031,rank_52,9140,,,,,,,,,,,,,,,,,,,,,,,,,
53,8026,rank_53,9100,,,,,,,,,,,,,,,,,,,,,,,,,
54,7986,rank_54,9176,,,,,,,,,,,,,,,,,,,,,,,,,
