int,string,int,int,int,int
5010,neck_stab,0,0,0,0
5013,execution_default,0,0,0,0
5012,execution_mp_juggernaut_01,0,0,0,0
5054,execution_mp_juggernaut_02,0,0,0,0
5029,execution_mp_juggernaut_03,0,0,0,0
5038,execution_000,0,0,0,0
5058,execution_001,0,0,0,0
5061,execution_002,0,0,0,0
5119,execution_003,0,0,0,0
5098,execution_004,0,0,0,0
5044,execution_005,0,0,0,0
5023,execution_006,0,0,0,0
5121,execution_007,0,0,0,0
5026,execution_008,0,0,0,0
5073,execution_009,0,0,0,0
5085,execution_010,0,0,0,0
5053,execution_011,0,0,0,0
5043,execution_012,0,0,0,0
5106,execution_013,0,0,0,0
5117,execution_014,0,0,0,0
5037,execution_015,0,0,0,0
5039,execution_016,0,0,0,0
5028,execution_017,0,0,0,0
5108,execution_018,0,0,0,0
5009,execution_019,0,0,0,0
5072,execution_020,0,0,0,0
5113,execution_021,0,0,0,0
5070,execution_022,0,0,0,0
5094,execution_023,0,0,0,0
5087,execution_024,0,0,0,0
5016,execution_025,0,0,0,0
5041,execution_026,0,0,0,0
5111,execution_027,0,0,0,0
5063,execution_028,0,0,0,0
5099,execution_029,0,0,0,0
5076,execution_030,0,0,0,0
5032,execution_031,0,0,0,0
5092,execution_032,0,0,0,0
5103,execution_033,0,0,0,0
5066,execution_034,0,0,0,0
5118,execution_035,0,0,0,0
5040,execution_036,0,0,0,0
5060,execution_037,0,0,0,0
5020,execution_038,0,0,0,0
5051,execution_039,0,0,0,0
5107,execution_040,0,0,0,0
5081,execution_041,0,0,0,0
5084,execution_042,0,0,0,0
5074,execution_043,0,0,0,0
5014,execution_044,0,0,0,0
5100,execution_045,0,0,0,0
5116,execution_046,0,0,0,0
5042,execution_047,0,0,0,0
5045,execution_048,0,0,0,0
5090,execution_049,0,0,0,0
5017,execution_050,0,0,0,0
5115,execution_051,0,0,0,0
5082,execution_052,0,0,0,0
5011,execution_053,0,0,0,0
5065,execution_054,0,0,0,0
5078,execution_055,0,0,0,0
5097,execution_056,0,0,0,0
5046,execution_057,0,0,0,0
5101,execution_058,0,0,0,0
5089,execution_059,0,0,0,0
5027,execution_060,0,0,0,0
5015,execution_061,0,0,0,0
5033,execution_062,0,0,0,0
5114,execution_063,0,0,0,0
5050,execution_064,0,0,0,0
5021,execution_065,0,0,0,0
5024,execution_066,0,0,0,0
5080,execution_067,0,0,0,0
5068,execution_068,0,0,0,0
5035,execution_069,0,0,0,0
5112,execution_070,0,0,0,0
5077,execution_071,0,0,0,0
5071,execution_072,0,0,0,0
5052,execution_073,0,0,0,0
5105,execution_074,0,0,0,0
5064,execution_075,0,0,0,0
5022,execution_076,0,0,0,0
5120,execution_077,0,0,0,0
5047,execution_078,0,0,0,0
5109,execution_079,0,0,0,0
5086,execution_080,0,0,0,0
5055,execution_081,0,0,0,0
5110,execution_082,0,0,0,0
5062,execution_083,0,0,0,0
5075,execution_084,0,0,0,0
5067,execution_085,0,0,0,0
5083,execution_086,0,0,0,0
5019,execution_087,0,0,0,0
5048,execution_088,0,0,0,0
5069,execution_089,0,0,0,0
5122,execution_090,0,0,0,0
5091,execution_091,0,0,0,0
5034,execution_092,0,0,0,0
5093,execution_093,0,0,0,0
5059,execution_094,0,0,0,0
5030,execution_095,0,0,0,0
5031,execution_096,0,0,0,0
5036,execution_097,0,0,0,0
5025,execution_098,0,0,0,0
5102,execution_099,0,0,0,0
5095,execution_100,0,0,0,0
5096,execution_animal_000,0,0,0,0
5049,execution_animal_001,0,0,0,0
5018,execution_animal_002,0,0,0,0
5057,execution_animal_003,0,0,0,0
5079,execution_animal_004,0,0,0,0
5104,execution_animal_005,0,0,0,0
5088,execution_animal_006,0,0,0,0
5056,execution_animal_007,0,0,0,0
