int,string,int,int,int,int
5537,shadow_ar_western,0,0,0,5
5518,shadow_smg_western,0,0,0,5
5508,shadow_sg_western,0,0,0,5
5522,shadow_lg_western,0,0,0,5
5542,shadow_dmr_western,0,0,0,5
5529,bravos_sas_a_western,0,0,0,5
5528,bravos_sas_b_western,0,0,0,5
5535,bravos_sas_c_western,0,0,0,5
5540,bravos_sas_d_western,0,0,0,5
5544,default_male_t10,0,0,0,5
5524,default_female_t10,0,0,0,5
5517,fender_western,0,0,0,5
5543,kilgore_eastern,0,0,0,5
5545,calisto_eastern,0,0,0,5
5513,chili_western,0,0,0,5
5523,stiletto_eastern,0,0,0,5
5514,hutch_western,0,0,0,5
5511,kpop_eastern,0,0,0,5
5530,ronin_western,0,0,0,5
5539,t10_usa_mogadishu,0,0,0,0
5510,t10_usa_alpha_infiltration,0,0,0,0
5548,t10_usa_bravo_infiltration,0,0,0,0
5547,t10_usa_ziva_default,0,0,0,0
5536,t10_usa_ziva_rt,0,0,0,0
5526,t10_uk_stone_security,0,0,0,0
5532,gus_western,0,0,0,5
5509,zimo_western,0,0,0,5
5527,kleo_western,0,0,0,5
5546,nova_eastern,0,0,0,5
5512,price_western,0,0,0,5
5525,farah_western,0,0,0,5
5549,ghost_western,0,0,0,5
5533,milsim_western_1,0,0,0,0
5538,milsim_eastern_1,0,0,0,0
7965,soap_western,0,0,0,0
8188,oni_eastern,0,0,0,0
11389,aksel_eastern,0,0,0,0
11388,conor_eastern,0,0,0,0
11390,gromsko_western,0,0,0,0
11391,luna_western,0,0,0,0
11387,reyes_western,0,0,0,0
11392,roze_eastern,0,0,0,0
11393,zero_eastern,0,0,0,0
