string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,string,string
11307,iw9_pi_golf17,0,0,0,0,iw9_pi_golf17_variant_0,,,,,,,,,,,,,,0,0,0
11834,iw9_pi_golf17,0,0,0,0,iw9_pi_golf17_v1,,,,,,,,,,,,,,0,1,0
11361,iw9_pi_golf18,0,0,0,0,iw9_pi_golf18_variant_0,,,,,,,,,,,,,,0,0,0
11870,iw9_pi_golf18,0,0,0,0,iw9_pi_golf18_v9,,,,,,,,,,,,,,0,1,0
11825,iw9_pi_golf18,0,0,0,0,iw9_pi_golf18_v5,,,,,,,,,,,,,,0,2,0
11886,iw9_pi_golf18,0,0,0,0,iw9_pi_golf18_v4,,,,,,,,,,,,,,0,3,0
11859,iw9_pi_golf18,0,0,0,0,iw9_pi_golf18_v1,,,,,,,,,,,,,,0,4,0
11324,iw9_pi_decho,0,0,0,0,iw9_pi_decho_variant_0,,,,,,,,,,,,,,0,0,0
11821,iw9_pi_decho,0,0,0,0,iw9_pi_decho_v5,,,,,,,,,,,,,,0,1,0
11827,iw9_pi_decho,0,0,0,0,iw9_pi_decho_v3,,,,,,,,,,,,,,0,2,0
11812,iw9_pi_decho,0,0,0,0,iw9_pi_decho_v1,,,,,,,,,,,,,,0,3,0
11998,iw9_pi_decho,0,0,0,0,iw9_pi_decho_v12,,,,,,,,,,,,,,0,4,0
11352,iw9_pi_papa220,0,0,0,0,iw9_pi_papa220_variant_0,,,,,,,,,,,,,,0,0,0
11819,iw9_pi_papa220,0,0,0,0,iw9_pi_papa220_v2,,,,,,,,,,,,,,0,1,0
11882,iw9_pi_papa220,0,0,0,0,iw9_pi_papa220_v1,,,,,,,,,,,,,,0,2,0
11832,iw9_pi_papa220,0,0,0,0,iw9_pi_papa220_v9,,,,,,,,,,,,,,0,3,0
11878,iw9_pi_papa220,0,0,0,0,iw9_pi_papa220_v6,,,,,,,,,,,,,,0,4,0
11831,iw9_pi_papa220,0,0,0,0,iw9_pi_papa220_v5,,,,,,,,,,,,,,0,5,0
12003,iw9_pi_papa220,0,0,0,0,iw9_pi_papa220_v8,,,,,,,,,,,,,,0,6,0
12004,iw9_pi_papa220,0,0,0,0,iw9_pi_papa220_v3,,,,,,,,,,,,,,0,7,0
11367,iw9_pi_swhiskey,0,0,0,0,iw9_pi_swhiskey_variant_0,,,,,,,,,,,,,,0,0,0
11879,iw9_pi_swhiskey,0,0,0,0,iw9_pi_swhiskey_v2,,,,,,,,,,,,,,0,1,0
11800,iw9_pi_swhiskey,0,0,0,0,iw9_pi_swhiskey_v1,,,,,,,,,,,,,,0,2,0
11862,iw9_pi_swhiskey,0,0,0,0,iw9_pi_swhiskey_v4,,,,,,,,,,,,,,0,3,0
11993,iw9_pi_swhiskey,0,0,0,0,iw9_pi_swhiskey_v5,,,,,,,,,,,,,,0,4,0
11368,iw9_pi_stimpistol,0,0,0,0,iw9_pi_stimpistol_variant_0,,,,,,,,,,,,,,0,0,0
11338,iw9_sm_mpapa5,0,0,0,0,iw9_sm_mpapa5_variant_0,,,,,,,,,,,,,,0,0,0
11997,iw9_sm_mpapa5,0,0,0,0,iw9_sm_mpapa5_v2,,,,,,,,,,,,,,0,1,0
11335,iw9_sm_mpapax,0,0,0,0,iw9_sm_mpapax_variant_0,,,,,,,,,,,,,,0,0,0
11849,iw9_sm_mpapax,0,0,0,0,iw9_sm_mpapax_v3,,,,,,,,,,,,,,0,1,0
11833,iw9_sm_mpapax,0,0,0,0,iw9_sm_mpapax_v1,,,,,,,,,,,,,,0,2,0
11871,iw9_sm_mpapax,0,0,0,0,iw9_sm_mpapax_v4,,,,,,,,,,,,,,0,3,0
11852,iw9_sm_mpapax,0,0,0,0,iw9_sm_mpapax_v8,,,,,,,,,,,,,,0,4,0
11866,iw9_sm_mpapax,0,0,0,0,iw9_sm_mpapax_v6,,,,,,,,,,,,,,0,5,0
12006,iw9_sm_mpapax,0,0,0,0,iw9_sm_mpapax_v9,,,,,,,,,,,,,,0,6,0
11364,iw9_sm_aviktor,0,0,0,0,iw9_sm_aviktor_variant_0,,,,,,,,,,,,,,0,0,0
11823,iw9_sm_aviktor,0,0,0,0,iw9_sm_aviktor_v1,,,,,,,,,,,,,,0,1,0
11844,iw9_sm_aviktor,0,0,0,0,iw9_sm_aviktor_v3,,,,,,,,,,,,,,0,2,0
11988,iw9_sm_aviktor,0,0,0,0,iw9_sm_aviktor_v6,,,,,,,,,,,,,,0,3,0
11365,iw9_sm_alpha57,0,0,0,0,iw9_sm_alpha57_variant_0,,,,,,,,,,,,,,0,0,0
11839,iw9_sm_alpha57,0,0,0,0,iw9_sm_alpha57_v3,,,,,,,,,,,,,,0,1,0
11822,iw9_sm_alpha57,0,0,0,0,iw9_sm_alpha57_v7,,,,,,,,,,,,,,0,2,0
11799,iw9_sm_alpha57,0,0,0,0,iw9_sm_alpha57_tac,,,,,,,,,,,,,,0,3,0
11876,iw9_sm_alpha57,0,0,0,0,iw9_sm_alpha57_def,,,,,,,,,,,,,,0,4,0
11843,iw9_sm_alpha57,0,0,0,0,iw9_sm_alpha57_agg,,,,,,,,,,,,,,0,5,0
11875,iw9_sm_alpha57,0,0,0,0,iw9_sm_alpha57_v90,,,,,,,,,,,,,,0,6,0
12009,iw9_sm_alpha57,0,0,0,0,iw9_sm_alpha57_v8,,,,,,,,,,,,,,0,7,0
11990,iw9_sm_alpha57,0,0,0,0,iw9_sm_alpha57_v2,,,,,,,,,,,,,,0,8,0
11341,iw9_sm_beta,0,0,0,0,iw9_sm_beta_variant_0,,,,,,,,,,,,,,0,0,0
12000,iw9_sm_beta,0,0,0,0,iw9_sm_beta_v2,,,,,,,,,,,,,,0,1,0
11374,iw9_sm_papa90,0,0,0,0,iw9_sm_papa90_variant_0,,,,,,,,,,,,,,0,0,0
11802,iw9_sm_papa90,0,0,0,0,iw9_sm_papa90_v7,,,,,,,,,,,,,,0,1,0
11797,iw9_sm_papa90,0,0,0,0,iw9_sm_papa90_v5,,,,,,,,,,,,,,0,2,0
11311,iw9_sm_mpapa7,0,0,0,0,iw9_sm_mpapa7_variant_0,,,,,,,,,,,,,,0,0,0
11995,iw9_sm_mpapa7,0,0,0,0,iw9_sm_mpapa7_v11,,,,,,,,,,,,,,0,1,0
12005,iw9_sm_mpapa7,0,0,0,0,iw9_sm_mpapa7_v8,,,,,,,,,,,,,,0,2,0
11315,iw9_sm_victor,0,0,0,0,iw9_sm_victor_variant_0,,,,,,,,,,,,,,0,0,0
11836,iw9_sm_victor,0,0,0,0,iw9_sm_victor_v3,,,,,,,,,,,,,,0,1,0
12001,iw9_sm_victor,0,0,0,0,iw9_sm_victor_v6,,,,,,,,,,,,,,0,2,0
11353,iw9_me_riotshield,0,0,0,0,iw9_me_riotshield_variant_0,,,,,,,,,,,,,,0,0,0
11355,iw9_me_knife,0,0,0,0,iw9_me_knife_variant_0,,,,,,,,,,,,,,0,0,0
12010,iw9_me_knife,0,0,0,0,iw9_me_knife_v0,,,,,,,,,,,,,,0,1,0
11992,iw9_me_knife,0,0,0,0,iw9_me_knife_v1,,,,,,,,,,,,,,0,2,0
11371,iw8_knife,0,0,0,0,iw8_knife_variant_0,,,,,,,,,,,,,,0,0,0
11332,iw8_fists,0,0,0,0,iw8_fists_variant_0,,,,,,,,,,,,,,0,0,0
11370,iw9_me_fists,0,0,0,0,iw9_me_fists_variant_0,,,,,,,,,,,,,,0,0,0
11304,iw9_me_climbfists,0,0,0,0,iw9_me_climbfists_variant_0,,,,,,,,,,,,,,0,0,0
11310,iw9_swimfists,0,0,0,0,iw9_swimfists_variant_0,,,,,,,,,,,,,,0,0,0
11306,iw9_me_diveknife,0,0,0,0,iw9_me_diveknife_variant_0,,,,,,,,,,,,,,0,0,0
11362,iw9_ar_schotel,0,0,0,0,iw9_ar_schotel_variant_0,,,,,,,,,,,,,,0,0,0
11888,iw9_ar_schotel,0,0,0,0,iw9_ar_schotel_v1,,,,,,,,,,,,,,0,1,0
11345,iw9_ar_mcbravo,0,0,0,0,iw9_ar_mcbravo_variant_0,,,,,,,,,,,,,,0,0,0
11857,iw9_ar_mcbravo,0,0,0,0,iw9_ar_mcbravo_v1,,,,,,,,,,,,,,0,1,0
11320,iw9_ar_kilo53,0,0,0,0,iw9_ar_kilo53_variant_0,,,,,,,,,,,,,,0,0,0
12016,iw9_ar_kilo53,0,0,0,0,iw9_ar_kilo53_v10,,,,,,,,,,,,,,0,1,0
11372,iw9_ar_augolf,0,0,0,0,iw9_ar_augolf_variant_0,,,,,,,,,,,,,,0,0,0
11339,iw9_ar_golf3,0,0,0,0,iw9_ar_golf3_variant_0,,,,,,,,,,,,,,0,0,0
11984,iw9_ar_golf3,0,0,0,0,iw9_ar_golf3_v7,,,,,,,,,,,,,,0,1,0
11987,iw9_ar_golf3,0,0,0,0,iw9_ar_golf3_v4,,,,,,,,,,,,,,0,2,0
11336,iw9_br_soscar14,0,0,0,0,iw9_br_soscar14_variant_0,,,,,,,,,,,,,,0,0,0
11991,iw9_br_soscar14,0,0,0,0,iw9_br_soscar14_v4,,,,,,,,,,,,,,0,1,0
11354,iw9_ar_mike4,0,0,0,0,iw9_ar_mike4_variant_0,,,,,,,,,,,,,,0,0,1
11806,iw9_ar_mike4,0,0,0,0,iw9_ar_mike4_v1,,,,,,,,,,,,,,0,1,0
11809,iw9_ar_mike4,0,0,0,0,iw9_ar_mike4_v11,,,,,,,,,,,,,,0,2,0
11856,iw9_ar_mike4,0,0,0,0,iw9_ar_mike4_v9,,,,,,,,,,,,,,0,3,0
11820,iw9_ar_mike4,0,0,0,0,iw9_ar_mike4_v6,,,,,,,,,,,,,,0,4,0
11813,iw9_ar_mike4,0,0,0,0,iw9_ar_mike4_v4,,,,,,,,,,,,,,0,5,0
11824,iw9_ar_mike4,0,0,0,0,iw9_ar_mike4_tac,,,,,,,,,,,,,,0,6,0
11853,iw9_ar_mike4,0,0,0,0,iw9_ar_mike4_def,,,,,,,,,,,,,,0,7,0
11885,iw9_ar_mike4,0,0,0,0,iw9_ar_mike4_agg,,,,,,,,,,,,,,0,8,0
11817,iw9_ar_mike4,0,0,0,0,iw9_ar_mike4_v90,,,,,,,,,,,,,,0,9,0
11808,iw9_ar_mike4,0,0,0,0,iw9_ar_mike4_v15,,,,,,,,,,,,,,0,10,0
12011,iw9_ar_mike4,0,0,0,0,iw9_ar_mike4_v18,,,,,,,,,,,,,,0,11,0
11325,iw9_ar_mike16,0,0,0,0,iw9_ar_mike16_variant_0,,,,,,,,,,,,,,0,0,0
11851,iw9_ar_mike16,0,0,0,0,iw9_ar_mike16_v3,,,,,,,,,,,,,,0,1,0
11810,iw9_ar_mike16,0,0,0,0,iw9_ar_mike16_v5,,,,,,,,,,,,,,0,2,0
11804,iw9_ar_mike16,0,0,0,0,iw9_ar_mike16_tac,,,,,,,,,,,,,,0,3,0
11869,iw9_ar_mike16,0,0,0,0,iw9_ar_mike16_def,,,,,,,,,,,,,,0,4,0
11814,iw9_ar_mike16,0,0,0,0,iw9_ar_mike16_agg,,,,,,,,,,,,,,0,5,0
11867,iw9_ar_mike16,0,0,0,0,iw9_ar_mike16_v90,,,,,,,,,,,,,,0,6,0
11983,iw9_ar_mike16,0,0,0,0,iw9_ar_mike16_v6,,,,,,,,,,,,,,0,7,0
11357,iw9_br_msecho,0,0,0,0,iw9_br_msecho_variant_0,,,,,,,,,,,,,,0,0,0
11847,iw9_br_msecho,0,0,0,0,iw9_br_msecho_agg,,,,,,,,,,,,,,0,1,0
11855,iw9_br_msecho,0,0,0,0,iw9_br_msecho_def,,,,,,,,,,,,,,0,2,0
11860,iw9_br_msecho,0,0,0,0,iw9_br_msecho_tac,,,,,,,,,,,,,,0,3,0
11854,iw9_br_msecho,0,0,0,0,iw9_br_msecho_v90,,,,,,,,,,,,,,0,4,0
