string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized,string
3937,battlemap_token,1,2,,20,150,100,,3937,1,,iw9_battlemap_token_purchase,4130,,IW9_AE_KIND_BATTLEMAP_TOKEN_PURCHASE,&BATTLEPASS/1_TIER_SKIP,battlepass_purchase_image
3939,battlemap_s1,0,4,1,20,1000,1000,,3939|3932,1|1,3932,iw9_activate_battlepass_s1,7264,iw9_battle_pass_purchase_s1,IW9_AE_KIND_BATTLEPASS,&BATTLEPASS/BATTLEPASS_PREMIUM,battlepass_purchase_image
3932,battlemap_s1_tracker,3,0,1,0,0,0,,,,,,,,,&,
11170,battlemap_s1_bundle,2,0,1,20,2400,2400,,3939|3932|3937,1|1|20,3932,,,,,&BATTLEPASS/BATTLEPASS_PREMIUM_BUNDLE,battlepass_purchase_image_bundle
3935,battlemap_s2,0,4,2,20,1000,1000,,3935|3936,1|1,3936,iw9_activate_battlepass_s2,7262,iw9_battle_pass_purchase_s2,IW9_AE_KIND_BATTLEPASS,&BATTLEPASS/BATTLEPASS_PREMIUM,battlepass_purchase_image
3936,battlemap_s2_tracker,3,0,2,0,0,0,,,,,,,,,&,
3931,battlemap_s3,0,4,3,20,1000,1000,,3931|3933,1|1,3933,iw9_activate_battlepass_s3,7263,iw9_battle_pass_purchase_s3,IW9_AE_KIND_BATTLEPASS,&BATTLEPASS/BATTLEPASS_PREMIUM,battlepass_purchase_image
3933,battlemap_s3_tracker,3,0,3,0,0,0,,,,,,,,,&,
3928,battlemap_s4,0,4,4,20,1000,1000,,3928|3927,1|1,3927,iw9_activate_battlepass_s4,7260,iw9_battle_pass_purchase_s4,IW9_AE_KIND_BATTLEPASS,&BATTLEPASS/BATTLEPASS_PREMIUM,battlepass_purchase_image
3927,battlemap_s4_tracker,3,0,4,0,0,0,,,,,,,,,&,
3934,battlemap_s5,0,4,5,20,1000,1000,,3934|3929,1|1,3929,iw9_activate_battlepass_s5,7265,iw9_battle_pass_purchase_s5,IW9_AE_KIND_BATTLEPASS,&BATTLEPASS/BATTLEPASS_PREMIUM,battlepass_purchase_image
3929,battlemap_s5_tracker,3,0,5,0,0,0,,,,,,,,,&,
3938,battlemap_s6,0,4,6,20,1000,1000,,3938|3930,1|1,3930,iw9_activate_battlepass_s6,7261,iw9_battle_pass_purchase_s6,IW9_AE_KIND_BATTLEPASS,&BATTLEPASS/BATTLEPASS_PREMIUM,battlepass_purchase_image
3930,battlemap_s6_tracker,3,0,6,0,0,0,,,,,,,,,&,
