string,string,string
0,weapon,none
49,accessory,accessory001
100,accessory,accessory002
86,accessory,accessory003
68,accessory,accessory004
58,accessory,accessory005
91,accessory,accessory006
59,accessory,accessory007
73,accessory,accessory008
62,accessory,accessory009
31,accessory,accessory010
95,accessory,accessory011
101,accessory,accessory012
83,accessory,accessory013
40,accessory,accessory014
71,accessory,accessory015
39,accessory,accessory016
21,accessory,accessory017
75,accessory,accessory018
10,accessory,accessory019
84,accessory,accessory020
93,accessory,accessory021
27,accessory,accessory022
69,accessory,accessory023
105,accessory,accessory024
8,accessory,accessory025
38,accessory,accessory026
15,accessory,accessory027
19,accessory,accessory028
22,accessory,accessory029
87,accessory,accessory030
78,accessory,accessory031
60,accessory,accessory032
32,accessory,accessory033
12,accessory,accessory034
9,accessory,accessory035
6,accessory,accessory036
28,accessory,accessory037
99,accessory,accessory038
2,accessory,accessory039
36,accessory,accessory040
57,accessory,accessory041
104,accessory,accessory042
11,accessory,accessory043
34,accessory,accessory044
65,accessory,accessory045
20,accessory,accessory046
14,accessory,accessory047
98,accessory,accessory048
53,accessory,accessory049
43,accessory,accessory050
64,accessory,accessory051
44,accessory,accessory052
41,accessory,accessory053
42,accessory,accessory054
79,accessory,accessory055
33,accessory,accessory056
76,accessory,accessory057
26,accessory,accessory058
81,accessory,accessory059
35,accessory,accessory060
70,accessory,accessory061
94,accessory,accessory062
55,accessory,accessory063
16,accessory,accessory064
67,accessory,accessory065
88,accessory,accessory066
23,accessory,accessory067
102,accessory,accessory068
97,accessory,accessory069
37,accessory,accessory070
46,accessory,accessory071
56,accessory,accessory072
47,accessory,accessory073
72,accessory,accessory074
45,accessory,accessory075
90,accessory,accessory076
5,accessory,accessory077
96,accessory,accessory078
4,accessory,accessory079
89,accessory,accessory080
29,accessory,accessory081
18,accessory,accessory082
80,accessory,accessory083
74,accessory,accessory084
52,accessory,accessory085
50,accessory,accessory086
25,accessory,accessory087
82,accessory,accessory088
51,accessory,accessory089
85,accessory,accessory090
7,accessory,accessory091
77,accessory,accessory092
17,accessory,accessory093
24,accessory,accessory094
92,accessory,accessory095
103,accessory,accessory096
3,accessory,accessory097
48,accessory,accessory098
54,accessory,accessory099
66,accessory,accessory100
30,accessory,accessory101
61,accessory,accessory102
63,accessory,accessory103
13,accessory,accessory104
8280,accolades,adsKills
8290,accolades,ammoBoxUsed
8227,accolades,arDeaths
8320,accolades,arHeadshots
8292,accolades,arKills
8256,accolades,armorBoxUsed
8228,accolades,assaults
8284,accolades,avengerKills
8337,accolades,blastshieldBoxUsed
8328,accolades,bombDefused
8195,accolades,bombDetonated
8193,accolades,bombPlanted
8325,accolades,c4LethalKills
8267,accolades,captures
8238,accolades,carepackagesCaptured
8196,accolades,carrierKills
8341,accolades,classChanges
8236,accolades,claymoreKills
8226,accolades,clutch
8211,accolades,clutchRevives
8231,accolades,comebackKills
8271,accolades,damageDealt
8206,accolades,damageTaken
8204,accolades,deadSilenceKills
8207,accolades,deathsFromBehind
8276,accolades,decoyHits
8199,accolades,defenderKills
8291,accolades,defends
8247,accolades,deployableCoverUsed
8319,accolades,destroyedKillstreaks
8202,accolades,distanceTraveledInVehicle
8306,accolades,distanceTravelled
8304,accolades,empDroneHits
8233,accolades,executionKills
8274,accolades,explosionsSurvived
8232,accolades,firstInfected
8346,accolades,flashbangHits
8263,accolades,fragKills
8264,accolades,gasHits
8311,accolades,headshots
8315,accolades,higherRankedKills
8261,accolades,highestAvgAltitude
8216,accolades,highestMultikill
8210,accolades,highestRankedKills
8237,accolades,hipfireKills
8318,accolades,infectedKills
8287,accolades,killEnemyTeam
8301,accolades,kills10NoDeaths
8260,accolades,killsFromBehind
8239,accolades,killstreakAUAVAssists
8277,accolades,killstreakAirKills
8265,accolades,killstreakAirstrikeKills
8307,accolades,killstreakCUAVAssists
8209,accolades,killstreakCarePackageUsed
8321,accolades,killstreakChopperGunnerKills
8305,accolades,killstreakChopperSupportKills
8338,accolades,killstreakCluserStrikeKills
8222,accolades,killstreakCruiseMissileKills
8223,accolades,killstreakEmergencyAirdropUsed
8323,accolades,killstreakGroundKills
8203,accolades,killstreakGunshipKills
8297,accolades,killstreakJuggernautKills
8245,accolades,killstreakKills
8299,accolades,killstreakPersonalUAVKills
8313,accolades,killstreakSentryGunKills
8266,accolades,killstreakShieldTurretKills
8316,accolades,killstreakTankKills
8229,accolades,killstreakUAVAssists
8273,accolades,killstreakVTOLJetKills
8339,accolades,killstreakWheelsonKills
8255,accolades,killstreakWhitePhosphorousKillsAssists
8322,accolades,lastSurvivor
8253,accolades,launcherDeaths
8282,accolades,launcherHeadshots
8343,accolades,launcherKills
8331,accolades,leastAssists
8257,accolades,leastDeaths
8327,accolades,leastKills
8324,accolades,lmgDeaths
8217,accolades,lmgHeadshots
8252,accolades,lmgKills
8286,accolades,longestLife
8213,accolades,longestStreak
8197,accolades,longestTimeSpentOnWeapon
8329,accolades,longshotKills
8249,accolades,lowerRankedKills
8205,accolades,lowestAvgAltitude
8191,accolades,meleeDeaths
8270,accolades,meleeKills
8200,accolades,molotovKills
8281,accolades,mostAssists
8243,accolades,mostDeaths
8269,accolades,mostKills
8317,accolades,mostKillsLeastDeaths
8333,accolades,mostKillsLongestStreak
8242,accolades,mostKillsMostHeadshots
8283,accolades,mostMultikills
8294,accolades,munitionsBoxUsed
8342,accolades,noDeathsFromBehind
8279,accolades,noKill10Deaths
8295,accolades,noKillNoDeath
8308,accolades,noKillsWithDeath
8218,accolades,oneShotOneKills
8214,accolades,penetrationKills
8248,accolades,pickups
8190,accolades,pistolHeadshots
8285,accolades,pistolKills
8254,accolades,pistolPeaths
8219,accolades,pointBlankKills
8235,accolades,proximityMineKills
8336,accolades,reconDroneMarks
8340,accolades,reloads
8250,accolades,returns
8293,accolades,revengeKills
8334,accolades,revives
8230,accolades,riotShieldDamageAbsorbed
8326,accolades,semtexKills
8278,accolades,setbacks
8212,accolades,shortestLife
8275,accolades,shotgunDeaths
8296,accolades,shotgunHeadshots
8215,accolades,shotgunKills
8225,accolades,shotsFired
8309,accolades,skippedKillcams
8344,accolades,smgDeaths
8335,accolades,smgHeadshots
8289,accolades,smgKills
8240,accolades,smokesUsed
8224,accolades,snapshotHits
8288,accolades,sniperDeaths
8192,accolades,sniperHeadshots
8302,accolades,sniperKills
8198,accolades,spawnSelectBase
8246,accolades,spawnSelectFlag
8259,accolades,spawnSelectSquad
8221,accolades,spawnSelectVehicle
8220,accolades,stimDamageHealed
8298,accolades,stoppingPowerKills
8258,accolades,stunHits
8330,accolades,suicides
8300,accolades,survivorKills
8272,accolades,tacticalInsertionSpawns
8234,accolades,tagsCaptured
8251,accolades,tagsDenied
8345,accolades,tagsLargestBank
8314,accolades,tagsMegaBanked
8241,accolades,thermiteKills
8312,accolades,throwingKnifeKills
8303,accolades,timeCrouched
8201,accolades,timeOnPoint
8262,accolades,timeProne
8244,accolades,timeSpentAsDriver
8208,accolades,timeSpentAsPassenger
8332,accolades,timeWatchingKillcams
8310,accolades,timesSelectedAsSquadLeader
8268,accolades,trophySystemHits
8194,accolades,weaponPickups
10765,attachment,acog_ar_akilo105_v2
10926,attachment,acog_ar_mike16_v3
12903,attachment,acog_sm_victor_v3
11410,attachment,ahotel_backpieces
11426,attachment,ahotel_combs
11419,attachment,ahotel_extras
11408,attachment,ahotel_frontpieces
11429,attachment,ahotel_gunperks
11421,attachment,ahotel_magazines
11407,attachment,ahotel_muzzles
11427,attachment,ahotel_optics
11405,attachment,ahotel_reargrips
11412,attachment,ahotel_undermounts
11476,attachment,akilo105_backpieces
11459,attachment,akilo105_extras
11457,attachment,akilo105_frontpieces
11446,attachment,akilo105_gunperks
11481,attachment,akilo105_magazines
11434,attachment,akilo105_muzzles
11452,attachment,akilo105_optics
11464,attachment,akilo105_reargrips
11467,attachment,akilo105_undermounts
11472,attachment,akilo74_backpieces
11475,attachment,akilo74_extras
11436,attachment,akilo74_frontpieces
11471,attachment,akilo74_gunperks
11468,attachment,akilo74_magazines
11443,attachment,akilo74_muzzles
11437,attachment,akilo74_optics
11451,attachment,akilo74_reargrips
11456,attachment,akilo74_undermounts
11435,attachment,akilo_backpieces
11462,attachment,akilo_extras
11485,attachment,akilo_frontpieces
11458,attachment,akilo_gunperks
11484,attachment,akilo_magazines
11440,attachment,akilo_muzzles
11441,attachment,akilo_optics
11447,attachment,akilo_reargrips
11453,attachment,akilo_undermounts
3344,attachment,akimbo_golf17
9440,attachment,akimbo_golf18
2863,attachment,akimbo_papa220
2794,attachment,akimbo_swhiskey
13239,attachment,alpha50_backpieces
13303,attachment,alpha50_extras
13235,attachment,alpha50_frontpieces
13299,attachment,alpha50_guards
13298,attachment,alpha50_gunperks
13270,attachment,alpha50_magazines
13260,attachment,alpha50_muzzles
13240,attachment,alpha50_optics
