string,string,string,string,string,string,string,string,string,localized,string
5497,10220,4,0,0,4000,0,30474,icon_mission_operator_token,&LOOT_MP/MISSION,mission_000
5502,20000,4,0,0,1000,0,30110,icon_mission_operator_token,&LOOT_MP/MISSION,mission_001
5494,20004,4,0,0,1000,0,30237,icon_mission_operator_token,&LOOT_MP/MISSION,mission_002
5495,20008,4,0,0,1000,0,30001,icon_mission_operator_token,&LOOT_MP/MISSION,mission_003
5503,20012,4,0,0,1000,0,30173,icon_mission_operator_token,&LOOT_MP/MISSION,mission_004
5496,20016,4,0,0,1000,0,30053,icon_mission_operator_token,&LOOT_MP/MISSION,mission_005
5498,20020,4,0,0,1000,0,30266,icon_mission_operator_token,&LOOT_MP/MISSION,mission_006
5500,20024,4,0,0,1000,0,30059,icon_mission_operator_token,&LOOT_MP/MISSION,mission_007
5493,20028,4,0,0,1000,0,30031,icon_mission_operator_token,&LOOT_MP/MISSION,mission_008
5491,20032,4,0,0,1000,0,30071,icon_mission_operator_token,&LOOT_MP/MISSION,mission_009
5501,20036,4,0,0,1000,0,30076,icon_mission_operator_token,&LOOT_MP/MISSION,mission_010
5492,20040,4,0,0,1000,0,30197,icon_mission_operator_token,&LOOT_MP/MISSION,mission_011
5499,20044,4,0,0,1000,0,30113,icon_mission_operator_token,&LOOT_MP/MISSION,mission_012
