int,string,int,int,int,int,int
49,accessory001,2,0,0,1000,0
100,accessory002,1,0,0,99,0
86,accessory003,1,0,0,99,0
68,accessory004,1,0,0,99,0
58,accessory005,4,0,0,1000,0
91,accessory006,4,0,0,1000,0
59,accessory007,4,0,0,1000,0
73,accessory008,4,0,0,1000,0
62,accessory009,1,0,0,99,0
31,accessory010,3,0,0,0,0
95,accessory011,3,0,0,99,0
101,accessory012,3,0,0,0,0
83,accessory013,1,0,0,3000,0
40,accessory014,2,0,0,1000,0
71,accessory015,3,0,0,3000,0
39,accessory016,4,0,0,1000,0
21,accessory017,1,0,0,99,0
75,accessory018,4,0,0,1000,0
10,accessory019,3,0,0,1000,0
84,accessory020,3,0,0,99,0
93,accessory021,3,0,0,2000,0
27,accessory022,3,0,0,1000,0
69,accessory023,4,0,0,3000,0
105,accessory024,4,0,0,1000,0
8,accessory025,4,0,0,1000,0
38,accessory026,1,0,0,99,0
15,accessory027,3,0,0,1000,0
19,accessory028,4,0,0,2000,0
22,accessory029,4,0,0,2000,0
87,accessory030,4,0,0,2000,0
78,accessory031,2,0,0,1000,0
60,accessory032,1,0,0,99,0
32,accessory033,2,0,0,1000,0
12,accessory034,4,0,0,2000,0
9,accessory035,4,0,0,2000,0
6,accessory036,2,0,0,1000,0
28,accessory037,2,0,0,1000,0
99,accessory038,2,0,0,1000,0
2,accessory039,2,0,0,1000,0
36,accessory040,2,0,0,1000,0
57,accessory041,2,0,0,1000,0
104,accessory042,2,0,0,1000,0
11,accessory043,2,0,0,1000,0
34,accessory044,2,0,0,1000,0
65,accessory045,2,0,0,1000,0
20,accessory046,2,0,0,1000,0
14,accessory047,2,0,0,1000,0
98,accessory048,2,0,0,1000,0
53,accessory049,1,0,0,99,0
43,accessory050,3,0,0,2000,0
64,accessory051,1,0,0,99,0
44,accessory052,1,0,0,99,0
41,accessory053,3,0,0,2000,0
42,accessory054,3,0,0,3000,0
79,accessory055,3,0,0,3000,0
33,accessory056,1,0,0,4000,0
76,accessory057,3,0,0,2000,0
26,accessory058,3,0,0,4001,0
81,accessory059,3,0,0,3000,0
35,accessory060,3,0,0,3000,0
70,accessory061,3,0,0,2000,0
94,accessory062,3,0,0,3000,0
55,accessory063,3,0,0,2000,0
16,accessory064,3,0,0,4000,0
67,accessory065,4,0,0,2000,0
88,accessory066,3,0,0,2000,0
23,accessory067,2,0,0,2000,0
102,accessory068,2,0,0,2000,0
97,accessory069,2,0,0,2000,0
37,accessory070,2,0,0,2000,0
46,accessory071,2,0,0,2000,0
56,accessory072,2,0,0,2000,0
47,accessory073,4,0,0,5000,0
72,accessory074,3,0,0,3000,0
45,accessory075,3,0,0,5000,0
90,accessory076,4,0,0,4000,0
5,accessory077,3,0,0,4000,0
96,accessory078,3,0,0,99,0
4,accessory079,3,0,0,4000,0
89,accessory080,3,0,0,3000,0
29,accessory081,3,0,0,4000,0
18,accessory082,3,0,0,4000,0
80,accessory083,3,0,0,3000,0
74,accessory084,4,0,0,4000,0
52,accessory085,4,0,0,4001,0
50,accessory086,3,0,0,4001,0
25,accessory087,3,0,0,4000,0
82,accessory088,3,0,0,4000,0
51,accessory089,3,0,0,4001,0
85,accessory090,3,0,0,4000,0
7,accessory091,3,0,0,3000,0
77,accessory092,3,0,0,5000,0
17,accessory093,3,0,0,4001,0
24,accessory094,3,0,0,4001,0
92,accessory095,3,0,0,4000,0
103,accessory096,4,0,0,5000,0
3,accessory097,1,0,0,5000,0
48,accessory098,4,0,0,99,0
54,accessory099,3,0,0,5000,0
66,accessory100,3,0,0,5000,0
30,accessory101,3,0,0,5000,0
61,accessory102,3,0,0,5000,0
63,accessory103,3,0,0,5000,0
13,accessory104,4,0,0,5000,0
