string,string,string,string,string,string,string,string,localized,string,string,localized,string,int
3967,dismemberment_bullets,2,200,40,0,,,&,white,0,&,,0
3984,rubber_bullets,2,200,40,0,,,&,white,0,&,,0
3945,xp_token,1,200,40,0,7,iw9_activate_player_xp_token,&LUA_MENU_MP/DOUBLE_XP_TOKEN,icon_double_xp_token_common,0,&LUA_MENU/XP_TOKEN_COMMON,,0
3983,gift,3,500,100,0,,,&,white,0,&,,0
3953,tournament_ticket,4,1000,200,0,,,&,white,0,&,,0
3958,trial_1_ticket,0,0,0,0,,,&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,&,,0
3964,trial_2_ticket,0,0,0,0,,,&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,&,,0
3980,trial_3_ticket,0,0,0,0,,,&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,&,,0
3954,trial_4_ticket,0,0,0,0,,,&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,&,,0
3971,trial_5_ticket,0,0,0,0,,,&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,&,,0
3976,trial_6_ticket,0,0,0,0,,,&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,&,,0
3949,trial_7_ticket,0,0,0,0,,,&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,&,,0
3979,trial_8_ticket,0,0,0,0,,,&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,&,,0
3981,trial_9_ticket,0,0,0,0,,,&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,&,,0
3975,trial_10_ticket,0,0,0,0,,,&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,&,,0
3959,trial_11_ticket,0,0,0,0,,,&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,&,,0
3970,trial_12_ticket,0,0,0,0,,,&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,&,,0
3972,trial_13_ticket,0,0,0,0,,,&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,&,,0
3977,trial_14_ticket,0,0,0,0,,,&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,&,,0
