string,string,string,string,string,string,string,string,string,string,int
6010,shadow_ar_western_basic,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
6007,shadow_smg_western_basic,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5988,shadow_sg_western_basic,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5975,shadow_lg_western_basic,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5997,shadow_dmr_western_basic,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5977,bravos_sas_a_western_basic,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5979,bravos_sas_b_western_basic,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
6000,bravos_sas_c_western_basic,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5974,bravos_sas_d_western_basic,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
6002,fender_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5972,kilgore_eastern_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5999,calisto_eastern_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5971,chili_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5970,hutch_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5980,kpop_eastern_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5985,ronin_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5981,t10_usa_alpha_inflitration,0,0,0,0,,,,,0
5994,t10_usa_bravo_inflitration,0,0,0,0,,,,,0
5982,gus_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5989,zimo_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
6005,kleo_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5983,nova_eastern_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5987,price_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5993,farah_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5976,ghost_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
6009,beta_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5978,kpop_eastern_b,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5995,milsim_western_a,0,0,0,0,,,,,0
6003,milsim_western_b,0,0,0,0,,,,,0
6012,milsim_western_c,0,0,0,0,,,,,0
6001,milsim_western_d,0,0,0,0,,,,,0
5996,milsim_eastern_a,0,0,0,0,,,,,0
5973,milsim_eastern_b,0,0,0,0,,,,,0
5984,milsim_eastern_c,0,0,0,0,,,,,0
5992,milsim_eastern_d,0,0,0,0,,,,,0
7966,soap_western_a,0,0,0,0,,,,,0
8189,oni_eastern_a,0,0,0,0,,,,,0
11403,aksel_eastern_a,,,,,,,,,0
11401,conor_eastern_a,,,,,,,,,0
11394,conor_eastern_b,,,,,,,,,0
11399,fender_western_b,,,,,,,,,0
11396,gromsko_western_a,,,,,,,,,0
11398,hutch_western_b,,,,,,,,,0
11402,luna_western_a,,,,,,,,,0
11395,reyes_western_a,,,,,,,,,0
11400,reyes_western_b,,,,,,,,,0
11404,roze_eastern_a,,,,,,,,,0
11397,zero_eastern_a,,,,,,,,,0
6004,default_female_t10_basic,,,,,,,,,0
6011,default_male_t10_basic,,,,,,,,,0
12261,stiletto_eastern_a1,,,,,,,,,0
