string,string,string,string,string,string,localized,localized,string,string,string
5134,loadout_1,0,0,0,0,&LUA_MENU/ASSAULT,&LUA_MENU/ASSAULT_DESC,icon_loadout_deadeye,hud_icon_loadout_assault,
5135,loadout_4,0,0,0,0,&LUA_MENU_MP/DEFAULT_LOADOUT_4,&LUA_MENU_MP/DEFAULT_LOADOUT_4_DESC,icon_loadout_tank,hud_icon_loadout_demolition,
5130,loadout_5,0,0,0,0,&LUA_MENU_MP/DEFAULT_LOADOUT_5,&LUA_MENU_MP/DEFAULT_LOADOUT_5_DESC,icon_loadout_lone_survivor,hud_icon_loadout_sniper,
5138,create_a_class,0,0,0,0,&LUA_MENU_MP/UNLOCK_CAC,&LUA_MENU_MP/UNLOCK_CAC_DESC,icon_loadout_cac_unlock,hud_icon_loadout_generic,
5127,challenges,0,0,0,0,&LUA_MENU/CHALLENGE,&LUA_MENU/CHALLENGE_DESC,icon_challenge_generic,hud_icon_challenge_generic,
5131,season1,0,0,0,0,&LUA_MENU/SEASON1,&LUA_MENU/SEASON1_DESC,white,white,
5132,season2,0,0,0,0,&LUA_MENU/SEASON2,&LUA_MENU/SEASON2_DESC,white,white,
5140,season3,0,0,0,0,&LUA_MENU/SEASON3,&LUA_MENU/SEASON3_DESC,white,white,
5141,season4,0,0,0,0,&LUA_MENU/SEASON4,&LUA_MENU/SEASON4_DESC,white,white,
5129,season5,0,0,0,0,&LUA_MENU/SEASON5,&LUA_MENU/SEASON5_DESC,white,white,
5142,season6,0,0,0,0,&LUA_MENU/SEASON6,&LUA_MENU/SEASON6_DESC,white,white,
5126,perk_specialist,0,0,0,0,&PERKS/SPECIALIST,&PERKS/DESC_SPECIALIST,icon_perk_package,hud_icon_loadout_specialist,
5133,field_upgrade_pro,0,0,0,0,&LUA_MENU/FIELD_UPGRADE_PRO,&LUA_MENU/FIELD_UPGRADE_PRO_DESC,icon_loadout_fieldupgrade,hud_icon_loadout_fieldupgrade,
5124,cod_points_id,4,0,0,0,&LOOT_MP/COD_POINTS,&LOOT_MP/COD_POINTS,icon_currency_codpoints_large,icon_currency_codpoints_large,
5136,bp_cod_points,0,0,0,0,&LUA_MENU/NONE,&LUA_MENU/NONE,white,white,
5123,bp_boost,4,0,0,0,&LUA_MENU/BP_BOOST,&LUA_MENU/BP_BOOST_DESC,icon_double_buff_xp_token,icon_double_buff_xp_token,
5137,challenge_id_lerch,4,0,0,0,&LUA_MENU/OPERATOR_LERCH_SKIN_1,&STORE_FLAVOR/OPERATOR_LERCH_EASTERN_BASIC_FLAVOR,ui_loot_operator_east_lerch_multi,ui_loot_operator_east_lerch_multi,lerch_eastern_basic
5125,challenge_id_shadow,2,0,0,0,&LUA_MENU/OPERATOR_EASTERN_DEFAULT_10,&STORE_FLAVOR/OPERATOR_DEFAULT_EASTERN_K_FLAVOR,ui_loot_operator_milsim_shadow_company_multi,ui_loot_operator_milsim_shadow_company_multi,default_eastern_j
5139,challenge_id_roze,4,0,0,0,&LUA_MENU/OPERATOR_ROZE_SKIN_2,&STORE_FLAVOR/OPERATOR_ROZE_EASTERN_A_FLAVOR,ui_loot_operator_east_roze_multi,ui_loot_operator_east_roze_multi,roze_eastern_d
5128,challenge_id_kyle,4,0,0,0,&LUA_MENU/OPERATOR_KYLE_SKIN_1,&STORE_FLAVOR/OPERATOR_KYLE_WESTERN_BASIC_FLAVOR,ui_loot_operator_west_kyle_multi,ui_loot_operator_west_kyle_multi,kyle_western_basic
