string,string,string,string
inherit,mp/loot/br/dmz/biobunker/lootset_root.csv,,
option,no_points_ground,,
chance,point,60,
chance,cluster,60,
chance,clusterSolo,10,
reqAdd,,1,
item,brloot_valuable_bunker_server_tape_common,21,
item,brloot_valuable_bunker_server_tape_uncommon,12,
item,brloot_valuable_bunker_server_tape_rare,6,
item,brloot_valuable_bunker_server_tape_epic,3,
item,brloot_valuable_bunker_board_common,17,
item,brloot_valuable_bunker_board_uncommon,8,
item,brloot_valuable_bunker_board_epic,1,
