string,string,string,string,string,string,string,string,string,string,string,string
0,vehesc_intel_hd_01,,CP_INTEL/BILLET_NAME_ALICE,CP_INTEL/BILLET_HEADER3_ALICE,CP_INTEL/BILLET_HEADER1_DONOTCOPY,billet,0,,,,1
1,vehesc_intel_hd_02,,CP_INTEL/BILLET_NAME_CHARLY,CP_INTEL/BILLET_HEADER3_CHARLEY,CP_INTEL/BILLET_HEADER1_DONOTCOPY,images,1,,,,1
2,vehesc_intel_hd_03,,CP_INTEL/BILLET_NAME_DOMINO,CP_INTEL/BILLET_HEADER3_DOMINO,CP_INTEL/BILLET_HEADER1_DONOTCOPY,missing,2,,,,1
3,vehesc_intel_hd_04,,CP_INTEL/BILLET_NAME_GOLEM,CP_INTEL/BILLET_HEADER3_GOLEM,CP_INTEL/BILLET_HEADER1_DONOTCOPY,notes,3,,,,1
4,vehesc_intel_hd_05,,CP_INTEL/BILLET_NAME_RAINES,CP_INTEL/BILLET_HEADER3_RAINES,CP_INTEL/BILLET_HEADER1_DONOTCOPY,reports,4,,,,1
5,vehesc_intel_usb_01,,CP_INTEL/BILLET_NAME_THORNE,CP_INTEL/BILLET_HEADER3_THORNE,CP_INTEL/BILLET_HEADER1_DONOTCOPY,sms,5,,,,1
6,vehesc_intel_usb_02,,CP_INTEL/BILLET_NAME_WYATT,CP_INTEL/BILLET_HEADER3_WYATT,CP_INTEL/BILLET_HEADER1_DONOTCOPY,billet,0,,,,0
7,vehesc_intel_usb_03,,CP_INTEL/BILLET_NAME_AZUR,CP_INTEL/BILLET_HEADER3_AZUR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,images,1,,,,0
8,vehesc_intel_usb_04,,CP_INTEL/BILLET_NAME_BALE,CP_INTEL/BILLET_HEADER3_BALE,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,missing,2,,,,0
9,vehesc_intel_usb_05,,CP_INTEL/BILLET_NAME_GRINCH,CP_INTEL/BILLET_HEADER3_GRINCH,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,notes,3,,,,0
10,heliesc_intel_hd_01,,CP_INTEL/BILLET_NAME_KRUEGER,CP_INTEL/BILLET_HEADER3_KRUEGER,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,reports,4,,,,0
11,heliesc_intel_hd_02,,CP_INTEL/BILLET_NAME_MINOTAUR,CP_INTEL/BILLET_HEADER3_MINOTAUR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,sms,5,,,,0
12,heliesc_intel_hd_03,,CP_INTEL/BILLET_NAME_RODION,CP_INTEL/BILLET_HEADER3_RODION,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,billet,0,,,,1
13,heliesc_intel_hd_04,,CP_INTEL/BILLET_NAME_SYD,CP_INTEL/BILLET_HEADER3_SYD,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,images,1,,,,1
14,heliesc_intel_hd_05,,CP_INTEL/BILLET_NAME_YEGOR,CP_INTEL/BILLET_HEADER3_YEGOR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,missing,2,,,,1
15,heliesc_intel_usb_01,,CP_INTEL/BILLET_NAME_ZANE,CP_INTEL/BILLET_HEADER3_ZANE,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,notes,3,,,,1
16,heliesc_intel_usb_02,,CP_INTEL/BILLET_NAME_OTTER,CP_INTEL/BILLET_HEADER3_OTTER,CP_INTEL/BILLET_HEADER1_DONOTCOPY,reports,4,,,,1
17,heliesc_intel_usb_03,,CP_INTEL/BILLET_NAME_DDAY,CP_INTEL/BILLET_HEADER3_DDAY,CP_INTEL/BILLET_HEADER1_DONOTCOPY,sms,5,,,,1
18,heliesc_intel_usb_04,,CP_INTEL/BILLET_NAME_ALICE,CP_INTEL/BILLET_HEADER3_ALICE,CP_INTEL/BILLET_HEADER1_DONOTCOPY,billet,0,,,,0
19,heliesc_intel_usb_05,,CP_INTEL/BILLET_NAME_CHARLY,CP_INTEL/BILLET_HEADER3_CHARLEY,CP_INTEL/BILLET_HEADER1_DONOTCOPY,images,1,,,,0
20,bads_intel_hd_01,,CP_INTEL/BILLET_NAME_DOMINO,CP_INTEL/BILLET_HEADER3_DOMINO,CP_INTEL/BILLET_HEADER1_DONOTCOPY,missing,2,,,,0
21,bads_intel_hd_02,,CP_INTEL/BILLET_NAME_GOLEM,CP_INTEL/BILLET_HEADER3_GOLEM,CP_INTEL/BILLET_HEADER1_DONOTCOPY,notes,3,,,,0
22,bads_intel_hd_03,,CP_INTEL/BILLET_NAME_RAINES,CP_INTEL/BILLET_HEADER3_RAINES,CP_INTEL/BILLET_HEADER1_DONOTCOPY,reports,4,,,,0
23,bads_intel_hd_04,,CP_INTEL/BILLET_NAME_THORNE,CP_INTEL/BILLET_HEADER3_THORNE,CP_INTEL/BILLET_HEADER1_DONOTCOPY,sms,5,,,,0
24,bads_intel_hd_05,,CP_INTEL/BILLET_NAME_WYATT,CP_INTEL/BILLET_HEADER3_WYATT,CP_INTEL/BILLET_HEADER1_DONOTCOPY,billet,0,,,,1
25,bads_intel_usb_01,,CP_INTEL/BILLET_NAME_AZUR,CP_INTEL/BILLET_HEADER3_AZUR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,images,1,,,,1
26,bads_intel_usb_02,,CP_INTEL/BILLET_NAME_BALE,CP_INTEL/BILLET_HEADER3_BALE,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,missing,2,,,,1
27,bads_intel_usb_03,,CP_INTEL/BILLET_NAME_GRINCH,CP_INTEL/BILLET_HEADER3_GRINCH,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,notes,3,,,,1
28,bads_intel_usb_04,,CP_INTEL/BILLET_NAME_KRUEGER,CP_INTEL/BILLET_HEADER3_KRUEGER,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,reports,4,,,,1
29,bads_intel_usb_05,,CP_INTEL/BILLET_NAME_MINOTAUR,CP_INTEL/BILLET_HEADER3_MINOTAUR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,sms,5,,,,1
30,obs_intel_hd_01,,CP_INTEL/BILLET_NAME_RODION,CP_INTEL/BILLET_HEADER3_RODION,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,billet,0,,,,0
31,obs_intel_hd_02,,CP_INTEL/BILLET_NAME_SYD,CP_INTEL/BILLET_HEADER3_SYD,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,images,1,,,,0
32,obs_intel_hd_03,,CP_INTEL/BILLET_NAME_YEGOR,CP_INTEL/BILLET_HEADER3_YEGOR,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,missing,2,,,,0
33,obs_intel_hd_04,,CP_INTEL/BILLET_NAME_ZANE,CP_INTEL/BILLET_HEADER3_ZANE,CP_INTEL/BILLET_HEADER1_CONFIDENTAL,notes,3,,,,0
34,obs_intel_hd_05,,CP_INTEL/BILLET_NAME_OTTER,CP_INTEL/BILLET_HEADER3_OTTER,CP_INTEL/BILLET_HEADER1_DONOTCOPY,reports,4,,,,0
35,obs_intel_usb_01,,CP_INTEL/BILLET_NAME_DDAY,CP_INTEL/BILLET_HEADER3_DDAY,CP_INTEL/BILLET_HEADER1_DONOTCOPY,sms,5,,,,0
